Supplementary Table: RNAseq preliminary stats																					
							samtools flagstat							RSEM_bowtie2							
Sample name	time	condition	BioSample	#_raw_read_pairs	#_trimmed_read_pairs	%_remaining	QC_passed_reads	reads mapped	%mapped	reads_primary_mapped	%_primary_mapped	properly_paired	%_properly_paired	total_reads	aligned_0_times	%_aligned_0_times	aligned_1_time	%_aligned_1_time	aligned_>1_time	%_aligned_>1_time	overall_alignement_%
A1_S61	early	BHI	SAMN34190971	13004401	12966871	99.71140539	29832954	28090104	94.16	24117692	93.26	24117692	93.26	12930271	871425	6.74	10539818	81.51	1519028	11.75	93.26
A2_S62	early	BHI	SAMN34190972	11668553	11647841	99.82249727	26368560	23940096	90.79	20691860	89.5	20691860	89.5	11560162	1214232	10.5	9025096	78.07	1320834	11.43	89.5
A3_S63	early	BHI	SAMN34190973	10682162	10663404	99.82439884	23382740	21240464	90.84	18889898	89.81	18889898	89.81	10516087	1071138	10.19	8588699	81.67	856250	8.14	89.81
A7_S64	late	BHI	SAMN34190974	9801622	9785051	99.83093615	21586420	19946324	92.4	17844268	91.58	17844268	91.58	9742182	820048	8.42	8095879	83.1	826255	8.48	91.58
A8_S65	late	BHI	SAMN34190975	11269522	11250169	99.82827133	25719386	23571144	91.65	20120516	90.35	20120516	90.35	11134379	1074121	9.65	8696968	78.11	1363290	12.24	90.35
A9_S66	late	BHI	SAMN34190976	10779840	10765890	99.87059177	24328842	21988886	90.38	18116586	88.56	18116586	88.56	10228271	1169978	11.44	7763478	75.9	1294815	12.66	88.56
B1_S67	early	BHI+butyrate	SAMN34190977	10770140	10756741	99.87559122	23960410	21688834	90.52	18953670	89.3	18953670	89.3	10612623	1135788	10.7	8310078	78.3	1166757	10.99	89.3
B2_S68	early	BHI+butyrate	SAMN34190978	11624482	11608750	99.86466494	25617876	23288112	90.91	20316028	89.71	20316028	89.71	11322896	1164882	10.29	8920523	78.78	1237491	10.93	89.71
B3_S69	early	BHI+butyrate	SAMN34190979	11020275	10996997	99.78877115	21881352	19084934	87.22	16787104	85.72	16787104	85.72	9791761	1398209	14.28	7432675	75.91	960877	9.81	85.72
B7_S70	late	BHI+butyrate	SAMN34190980	12385914	12368622	99.86038979	27280538	24347200	89.25	21152130	87.82	21152130	87.82	12042734	1466669	12.18	9260134	76.89	1315931	10.93	87.82
B8_S71	late	BHI+butyrate	SAMN34190981	13855019	13837991	99.87709869	30545928	28363120	92.85	24704090	91.88	24704090	91.88	13443449	1091404	8.12	10857511	80.76	1494534	11.12	91.88
B9_S72	late	BHI+butyrate	SAMN34190982	11943815	11927830	99.86616504	25177350	22255690	88.4	19772778	87.13	19772778	87.13	11347219	1460830	12.87	8914153	78.56	972236	8.57	87.13
																					
Total raw read pairs				138805745																	
Average raw read pairs				11567145.42																	
