time	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5
0	0.00525	0.0275	0.104416667	0.041083333	0.043666667	0.106583333	0.046416667	-0.0275	-0.007666667	0.063583333	0.003416667	0.00525	0.067833333	0.008583333	-0.022916667	-0.004583333	0.072333333	0.013	0.01525	0.077	0.017333333
900	0.028916667	0.031916667	0.098333333	0.0365	0.022916667	0.028333333	0.09525	-0.003916667	-0.002833333	0.058083333	-0.001416667	-0.015833333	-0.010333333	0.058	0.0035	0.002166667	0.069333333	0.0105	-0.0045	0.000166667	0.068833333
1800	0.041166667	0.013583333	0.018583333	0.093	0.033583333	0.036166667	0.095166667	0.007833333	-0.021916667	-0.0215	0.055	-0.0055	-0.002833333	0.057333333	0.0155	-0.017	-0.01025	0.067166667	0.006333333	0.0085	0.0685
2700	0.094416667	0.032333333	0.03125	0.095	0.037166667	0.02325	0.02525	0.060083333	-0.004333333	-0.01	0.056	-0.002916667	-0.016583333	-0.013666667	0.06775	0.000583333	0.001083333	0.068166667	0.008666667	-0.005583333	-0.003
3600	0.097916667	0.036916667	0.01775	0.023416667	0.098333333	0.038166667	0.0385	0.062583333	-0.000333333	-0.02525	-0.0175	0.0565	-0.002916667	-0.002166667	0.07	0.00375	-0.013583333	-0.004833333	0.068333333	0.00825	0.00825
4500	0.011166667	0.102666667	0.037833333	0.037416667	0.103	0.043333333	0.028666667	-0.026416667	0.064083333	-0.008083333	-0.005666667	0.058916667	0.000833333	-0.014833333	-0.01875	0.0685	0.005083333	0.0075	0.071416667	0.011833333	-0.003666667
5400	0.035	0.109916667	0.046333333	0.027666667	0.035666667	0.105333333	0.047166667	-0.005	0.068	-0.002666667	-0.018416667	-0.011583333	0.060583333	0.000166667	0.002833333	0.07325	0.011083333	-0.00425	0.002416667	0.072333333	0.012333333
6300	0.016916667	0.038416667	0.113666667	0.046666667	0.05275	0.1115	0.056583333	-0.0275	-0.006916667	0.05975	-0.001833333	0.001833333	0.063916667	0.005	-0.018583333	-0.000833333	0.0755	0.013416667	0.016833333	0.076666667	0.018083333
7200	0.052333333	0.0575	0.12325	0.0555	0.047	0.047583333	0.12175	0.003916667	0.007333333	0.063916667	0.003	-0.008666667	-0.003333333	0.064333333	0.014	0.01475	0.081666667	0.02	0.008166667	0.0105	0.078916667
8100	0.076083333	0.051333333	0.057166667	0.1215	0.069916667	0.065083333	0.133666667	0.0225	-0.00475	-0.0085	0.064583333	0.007916667	0.009666667	0.0695	0.034	0.003583333	0.010666667	0.083666667	0.027416667	0.025	0.08625
9000	0.14	0.080833333	0.081333333	0.130916667	0.085	0.0605	0.076666667	0.079666667	0.018666667	0.007083333	0.070083333	0.015666667	0.001083333	0.003583333	0.092416667	0.02725	0.028583333	0.09125	0.038333333	0.018416667	0.022416667
9900	0.15475	0.09733333	0.08108333	0.06833333	0.159	0.08441667	0.10266667	0.08658333	0.026	-0.004	0.001	0.08091667	0.01933333	0.02008333	0.10075	0.03758333	0.02066667	0.02591667	0.1065	0.0395	0.04091667
10800	0.08125	0.17641667	0.1145	0.09066667	0.17841667	0.099	0.107	0.00525	0.09708333	0.01758333	0.01708333	0.08975	0.0295	0.01358333	0.0205	0.11008333	0.04633333	0.0455	0.11916667	0.05166667	0.03708333
11700	0.11666667	0.19633333	0.1375	0.0915	0.12825	0.17175	0.14041667	0.03191667	0.10675	0.02791667	0.01108333	0.02825	0.09741667	0.03633333	0.04916667	0.12258333	0.06341667	0.044	0.06258333	0.12208333	0.06191667
12600	0.11283333	0.13733333	0.22041667	0.12316667	0.16191667	0.18866667	0.16758333	0.01883333	0.0395	0.0965	0.0355	0.05166667	0.10825	0.051	0.03775	0.058	0.14033333	0.07383333	0.08983333	0.1375	0.07758333
13500	0.159	0.169	0.24433333	0.14691667	0.17041667	0.135	0.25016667	0.0565	0.06466667	0.1065	0.05191667	0.05475	0.05283333	0.12041667	0.08033333	0.08375	0.15983333	0.09466667	0.10158333	0.08608333	0.15366667
14400	0.19325	0.17858333	0.191	0.23033333	0.21475	0.16483333	0.28433333	0.0835	0.062	0.04325	0.12641667	0.08466667	0.07783333	0.14075	0.1095	0.08366667	0.10041667	0.17683333	0.1425	0.11208333	0.17391667
15300	0.26858333	0.21691667	0.22833333	0.25341667	0.23983333	0.1735	0.23316667	0.1545	0.09425	0.06766667	0.14416667	0.11091667	0.08558333	0.08491667	0.18666667	0.12808333	0.13083333	0.199	0.17308333	0.12083333	0.1295
16200	0.29183333	0.2505	0.242	0.2125	0.32341667	0.21025	0.28208333	0.16966667	0.11325	0.06641667	0.08858333	0.19141667	0.11708333	0.11883333	0.21183333	0.14808333	0.14108333	0.15708333	0.25558333	0.16441667	0.15525
17100	0.2421667	0.33475	0.2748333	0.2370833	0.3614167	0.2451667	0.2879167	0.10425	0.195	0.0995	0.1233333	0.224	0.1474167	0.1305833	0.1486667	0.2396667	0.1805833	0.19175	0.2943333	0.1873333	0.1878333
18000	0.2979167	0.3725	0.3049167	0.2519167	0.32325	0.3168333	0.3334167	0.1429167	0.21875	0.1205833	0.1385	0.18525	0.23175	0.1658333	0.1953333	0.2705	0.2088333	0.2135	0.2609167	0.28425	0.2280833
18900	0.2955833	0.3135	0.3756667	0.2924167	0.3551667	0.34725	0.3649167	0.1514167	0.1604167	0.1989167	0.1760833	0.2365833	0.2626667	0.2001667	0.2014167	0.2085	0.3005	0.2674167	0.318	0.3123333	0.2601667
19800	0.3385	0.3520833	0.40525	0.3195	0.3638333	0.3055833	0.4531667	0.20575	0.1951667	0.2175833	0.213	0.26175	0.2258333	0.2939167	0.2573333	0.2438333	0.3324167	0.29575	0.3446667	0.2785	0.3414167
20700	0.3846667	0.3515833	0.3478333	0.4059167	0.4063333	0.3393333	0.47925	0.2575	0.2050833	0.1631667	0.3048333	0.3079167	0.26425	0.32875	0.30025	0.2616667	0.2878333	0.3875833	0.403	0.335	0.377
21600	0.4543333	0.3914167	0.386	0.435	0.43275	0.3595833	0.4241667	0.34975	0.2514167	0.1965833	0.3428333	0.3480833	0.2885833	0.2975	0.3934167	0.3036667	0.325	0.4203333	0.4374167	0.345	0.3345833
22500	0.4794167	0.41625	0.3856667	0.37675	0.5120833	0.3911667	0.45125	0.3885	0.2864167	0.20525	0.3050833	0.44175	0.3423333	0.34725	0.4174167	0.3346667	0.3326667	0.3826667	0.5235	0.3906667	0.378
23400	0.4164167	0.4938333	0.4171667	0.4078333	0.5381667	0.41625	0.457	0.3403333	0.37675	0.2440833	0.353	0.4769167	0.3783333	0.3678333	0.36725	0.4263333	0.3738333	0.4343333	0.54775	0.42825	0.4003333
24300	0.45675	0.5109167	0.4351667	0.4123333	0.4818333	0.4935	0.48725	0.3899167	0.4095	0.2696667	0.375	0.4346667	0.4715	0.4139167	0.406	0.4451667	0.397	0.4465	0.5001667	0.5173333	0.4351667
25200	0.4544167	0.4524167	0.5126667	0.4526667	0.5058333	0.51725	0.5071667	0.3951667	0.3600833	0.3544167	0.4248333	0.4781667	0.5039167	0.4449167	0.4085	0.3966667	0.4798333	0.4993333	0.52825	0.54675	0.4570833
26100	0.498	0.4784167	0.5256667	0.4659167	0.5134167	0.47025	0.5843333	0.4480833	0.4024167	0.3791667	0.45625	0.4841667	0.4598333	0.5226667	0.4599167	0.4381667	0.4999167	0.5304167	0.53375	0.4948333	0.5430833
27000	0.525	0.4750833	0.46925	0.5511667	0.5391667	0.4965833	0.5950833	0.4800833	0.4105833	0.3284167	0.5474167	0.5180833	0.4914167	0.5418333	0.4885833	0.4446667	0.4404167	0.60075	0.5655	0.52225	0.5631667
27900	0.5943333	0.5103333	0.49375	0.5756667	0.5581667	0.50525	0.5348333	0.5588333	0.4490833	0.3585	0.5724167	0.5355	0.5033333	0.4910833	0.5674167	0.4889167	0.46625	0.6223333	0.5883333	0.52525	0.5119167
28800	0.603	0.5209167	0.5020833	0.5108333	0.62175	0.532	0.5520833	0.5810833	0.4745833	0.3656667	0.5224167	0.6075833	0.5295833	0.5196667	0.5880833	0.5058333	0.467	0.5665833	0.65875	0.5466667	0.5355
29700	0.5315833	0.5866667	0.5189167	0.5451667	0.6379167	0.54525	0.5411667	0.5088333	0.5578333	0.4065833	0.54725	0.6230833	0.5413333	0.51625	0.5228333	0.59175	0.4943333	0.5880833	0.6765	0.5616667	0.5474167
30600	0.5476667	0.5966667	0.536	0.5410833	0.56625	0.6095	0.558	0.53325	0.5766667	0.425	0.5529167	0.566	0.6176667	0.5410833	0.54775	0.6173333	0.50975	0.5921667	0.6145833	0.6351667	0.5713333
31500	0.5316667	0.52525	0.6065833	0.5720833	0.58225	0.617	0.5625833	0.5288333	0.5146667	0.49975	0.5734167	0.588	0.6321667	0.55175	0.54375	0.5568333	0.5828333	0.62275	0.6293333	0.6515833	0.5885
32400	0.5571667	0.5421667	0.6125833	0.58175	0.5703333	0.5513333	0.6219167	0.564	0.5370833	0.5189167	0.5919167	0.585	0.57775	0.6215	0.5796667	0.5785	0.5931667	0.6344167	0.6190833	0.5900833	0.654
33300	0.5699167	0.5281667	0.5425	0.6461667	0.5875	0.5703333	0.6266667	0.5795	0.534	0.4583333	0.6533333	0.6020833	0.5986667	0.6304167	0.604	0.574	0.5259167	0.7005833	0.6386667	0.6153333	0.66025
34200	0.6305833	0.5445833	0.5576667	0.6534167	0.5913333	0.56175	0.5534167	0.6498333	0.5591667	0.4831667	0.66325	0.60925	0.58825	0.5723333	0.6725	0.5964167	0.5451667	0.70025	0.6411667	0.61125	0.5963333
