time	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5
0	0.03291667	0.033	0.09691667	0.04533333	0.04116667	0.10141667	0.0535	0.05708333	0.11166667	0.11875	0.06608333	0.06341667	0.13266667	0.06525	0.05541667	0.08525	0.146	0.08591667	0.08891667	0.14633333	0.11866667
900	0.05766667	0.0355	0.09358333	0.04225	0.02333333	0.02541667	0.1055	0.08541667	0.11891667	0.1175	0.06366667	0.0465	0.05875	0.11733333	0.08333333	0.09541667	0.14225	0.08533333	0.07108333	0.07225	0.17416667
1800	0.06916667	0.01558333	0.01441667	0.09875	0.03425	0.03391667	0.10475	0.09825	0.10125	0.03925	0.11991667	0.05775	0.06683333	0.1175	0.09566667	0.07483333	0.0605	0.14275	0.08275	0.08041667	0.17541667
2700	0.1205	0.0325	0.026	0.09975	0.03691667	0.02	0.03375	0.15225	0.11991667	0.05208333	0.12091667	0.06108333	0.05358333	0.04725	0.14841667	0.09533333	0.07308333	0.145	0.08641667	0.06766667	0.10558333
3600	0.12225	0.03508333	0.01125	0.02633333	0.09633333	0.03383333	0.04458333	0.1565	0.12408333	0.03916667	0.04816667	0.12191667	0.06858333	0.06016667	0.15191667	0.09975	0.05916667	0.07283333	0.14716667	0.08058333	0.11841667
4500	0.0315	0.09858333	0.02983333	0.03758333	0.09925	0.03683333	0.03225	0.07025	0.19041667	0.05983333	0.06066667	0.12633333	0.07341667	0.05025	0.06391667	0.16608333	0.0775	0.08491667	0.15	0.08416667	0.10533333
5400	0.05116667	0.10275	0.03625	0.02508333	0.02958333	0.097	0.04775	0.0955	0.19791667	0.06983333	0.04916667	0.05875	0.13583333	0.06908333	0.08525	0.17158333	0.08358333	0.0725	0.08	0.14358333	0.12075
6300	0.02891667	0.02825	0.101	0.04091667	0.04358333	0.1005	0.05325	0.07875	0.12675	0.13816667	0.06658333	0.07558333	0.14183333	0.07866667	0.0615	0.0965	0.14541667	0.08833333	0.09325	0.14675	0.12575
7200	0.05958333	0.044	0.10791667	0.04608333	0.0345	0.03383333	0.11416667	0.11625	0.14775	0.149	0.07358333	0.06975	0.07808333	0.1435	0.09433333	0.11216667	0.151	0.09233333	0.08233333	0.07858333	0.18516667
8100	0.07808333	0.03458333	0.03883333	0.10783333	0.053	0.048	0.12208333	0.14366667	0.14291667	0.08775	0.13733333	0.09225	0.09491667	0.15616667	0.114	0.10058333	0.07975	0.15383333	0.09883333	0.09158333	0.19075
9000	0.13691667	0.06091667	0.06033333	0.11316667	0.06341667	0.04025	0.05933333	0.21133333	0.17508333	0.11783333	0.14491667	0.10683333	0.09133333	0.09991667	0.17383333	0.12591667	0.096	0.1575	0.10633333	0.08216667	0.12566667
9900	0.14641667	0.07408333	0.058	0.04458333	0.13183333	0.05966667	0.07941667	0.22733333	0.19391667	0.123	0.07966667	0.18033333	0.11483333	0.126	0.18241667	0.13466667	0.08716667	0.0875	0.17025	0.10008333	0.14125
10800	0.06866667	0.15116667	0.0895	0.06008333	0.14375	0.07016667	0.078	0.1575	0.27591667	0.165	0.09858333	0.1985	0.12975	0.13166667	0.10333333	0.20716667	0.11258333	0.1015	0.17833333	0.10766667	0.13508333
11700	0.10191667	0.17116667	0.11341667	0.05241667	0.08675	0.13716667	0.10575	0.19808333	0.29925	0.205	0.09491667	0.1475	0.20133333	0.16866667	0.13616667	0.2225	0.12683333	0.09175	0.11608333	0.17133333	0.15633333
12600	0.098	0.11483333	0.20058333	0.07366667	0.112	0.14891667	0.12516667	0.2015	0.24408333	0.29966667	0.12116667	0.18125	0.21833333	0.19775	0.12866667	0.15691667	0.2015	0.11191667	0.135	0.17808333	0.17058333
13500	0.14425	0.15058333	0.23158333	0.08475	0.11733333	0.09158333	0.20058333	0.25558333	0.28241667	0.33775	0.13816667	0.18966667	0.16575	0.286	0.167	0.18525	0.22291667	0.11983333	0.13333333	0.11608333	0.24158333
14400	0.17925	0.1623333	0.1860833	0.1526667	0.1521667	0.1163333	0.22575	0.3004167	0.2960833	0.303	0.2116667	0.2265833	0.1949167	0.3193333	0.1946667	0.1855	0.1681667	0.1845833	0.1606667	0.1356667	0.25825
15300	0.25625	0.2149167	0.2300833	0.165	0.1786667	0.1178333	0.18125	0.3928333	0.3564167	0.3638333	0.2295833	0.259	0.2040833	0.28625	0.2679167	0.2244167	0.2065833	0.191	0.1810833	0.13525	0.2075
16200	0.2899167	0.2381667	0.2521667	0.1040833	0.2661667	0.1501667	0.2233333	0.4210833	0.40225	0.3830833	0.1739167	0.3558333	0.2421667	0.3199167	0.2973333	0.2501667	0.2180833	0.1259167	0.25525	0.1628333	0.236
17100	0.2354167	0.3425833	0.306	0.1283333	0.2913333	0.1711667	0.23475	0.36725	0.4894167	0.4478333	0.2031667	0.38675	0.26575	0.34175	0.2353333	0.3385833	0.2635833	0.1453333	0.27475	0.1764167	0.2455
18000	0.2791667	0.3849167	0.3544167	0.1295833	0.25975	0.2566667	0.2901667	0.4223333	0.5219167	0.4935	0.2146667	0.3574167	0.3569167	0.3923333	0.2753333	0.36975	0.29175	0.14125	0.22275	0.2514167	0.2839167
18900	0.2960833	0.3425	0.4579167	0.1614167	0.29525	0.2768333	0.3283333	0.443	0.4765833	0.59175	0.2478333	0.42075	0.3784167	0.4298333	0.2820833	0.319	0.3815	0.1656667	0.25725	0.2708333	0.3153333
19800	0.362	0.4045833	0.50325	0.18275	0.3250833	0.2360833	0.42925	0.5029167	0.5210833	0.6254167	0.2724167	0.44475	0.3346667	0.53525	0.3309167	0.3553333	0.4034167	0.1810833	0.2691667	0.2209167	0.3985833
20700	0.4113333	0.42275	0.4625833	0.257	0.3659167	0.2666667	0.4675833	0.5486667	0.542	0.5784167	0.3566667	0.48225	0.3704167	0.58425	0.3703333	0.3583333	0.34575	0.255	0.3083333	0.2543333	0.4281667
21600	0.5073333	0.4773333	0.5119167	0.2936667	0.4193333	0.28275	0.4370833	0.6334167	0.6005	0.6155	0.3835	0.53	0.39075	0.5489167	0.4473333	0.3900833	0.3749167	0.2724167	0.33275	0.2633333	0.3828333
22500	0.54775	0.52475	0.5305	0.2359167	0.5185	0.3304167	0.4863333	0.666	0.6320833	0.6268333	0.3405833	0.6143333	0.4464167	0.5910833	0.4699167	0.4055833	0.37775	0.21825	0.4130833	0.2999167	0.4180833
23400	0.4986667	0.61725	0.5729167	0.2735833	0.55175	0.36175	0.51125	0.6165833	0.7171667	0.66375	0.3875833	0.64825	0.4774167	0.6070833	0.4013333	0.48175	0.4088333	0.2464167	0.43675	0.3224167	0.4255
24300	0.54975	0.6453333	0.6038333	0.28575	0.5211667	0.4564167	0.5624167	0.6535833	0.7385833	0.68125	0.4005	0.6106667	0.5625	0.63975	0.43175	0.4951667	0.41675	0.2514167	0.3834167	0.3999167	0.45525
25200	0.5601667	0.59225	0.689	0.3229167	0.5664167	0.4958333	0.594	0.6461667	0.66925	0.74075	0.43975	0.6339167	0.5936667	0.6505	0.42225	0.4275	0.48775	0.2855833	0.412	0.4183333	0.4663333
26100	0.6030833	0.6183333	0.7074167	0.3648333	0.5871667	0.46175	0.6815	0.68225	0.69	0.7408333	0.4694167	0.6348333	0.5519167	0.71225	0.4555833	0.4438333	0.4956667	0.3051667	0.4083333	0.36575	0.5305833
27000	0.6283333	0.606	0.6438333	0.4561667	0.6230833	0.5006667	0.69825	0.70325	0.6754167	0.6644167	0.5608333	0.65575	0.5830833	0.7230833	0.47375	0.4285833	0.4245	0.3836667	0.4243333	0.3929167	0.5380833
27900	0.6970833	0.628	0.6553333	0.4911667	0.6495	0.5250833	0.6338333	0.7639167	0.6894167	0.673	0.5920833	0.6661667	0.59325	0.65625	0.5343333	0.4463333	0.4334167	0.4025833	0.4305833	0.3949167	0.4670833
28800	0.70525	0.6226667	0.64075	0.4454167	0.7141667	0.5716667	0.6545	0.7649167	0.6884167	0.6465833	0.54275	0.7260833	0.6221667	0.6576667	0.53925	0.4480833	0.41675	0.3451667	0.4906667	0.4181667	0.4795833
29700	0.6244167	0.6800833	0.6515833	0.4926667	0.7223333	0.599	0.64375	0.6826667	0.7428333	0.6564167	0.5756667	0.7229167	0.637	0.6445833	0.4555	0.5085	0.4329167	0.36925	0.4898333	0.4301667	0.4654167
30600	0.6334167	0.6775	0.6505	0.5088333	0.6491667	0.6789167	0.6599167	0.6945833	0.7429167	0.6534167	0.57925	0.6480833	0.7	0.6549167	0.47	0.5110833	0.43475	0.36875	0.4188333	0.4958333	0.47625
31500	0.6118333	0.5964167	0.7035	0.5489167	0.65625	0.6958333	0.6598333	0.6714167	0.6588333	0.705	0.6084167	0.656	0.7060833	0.65225	0.4523333	0.43125	0.48875	0.3954167	0.4276667	0.4991667	0.4789167
32400	0.6315833	0.6035833	0.6981667	0.5706667	0.6431667	0.6310833	0.7133333	0.6905	0.6601667	0.70175	0.6244167	0.6360833	0.632	0.7081667	0.47325	0.43975	0.4909167	0.40875	0.41075	0.4314167	0.5331667
33300	0.6326667	0.581	0.6174167	0.65425	0.65375	0.6460833	0.7103333	0.6930833	0.6435	0.6229167	0.693	0.6469167	0.6415	0.70725	0.481	0.4235833	0.41375	0.4739167	0.4225833	0.4416667	0.5350833
34200	0.687	0.5941667	0.6195	0.673	0.6546667	0.632	0.6363333	0.7481667	0.6550833	0.6271667	0.6983333	0.6475833	0.6231667	0.6310833	0.53775	0.4380833	0.42275	0.4791667	0.4234167	0.4276667	0.4624167
35100	0.68325	0.5879167	0.5993333	0.6139167	0.7101667	0.6394167	0.6421667	0.747	0.651	0.6075833	0.6266667	0.7015	0.6341667	0.6385833	0.539	0.43875	0.4081667	0.407	0.4795	0.4393333	0.4705
36000	0.5970833	0.6473333	0.6076667	0.6343333	0.71	0.6401667	0.6244167	0.65925	0.7090833	0.6194167	0.6413333	0.6974167	0.6325	0.619	0.4546667	0.5003333	0.4205833	0.4183333	0.47825	0.4388333	0.45675
36900	0.6069167	0.6470833	0.6068333	0.6275	0.6335833	0.6936667	0.6306667	0.6658333	0.71075	0.61925	0.62425	0.61925	0.6830833	0.6268333	0.4646667	0.5019167	0.4245833	0.404	0.4034167	0.49475	0.4699167
