time	BHI	BHI	BHI	But10	But10	But10	But25	But25	But25	But5	But5	But5	But50	But50	But50
0	0.029666667	0.030083333	0.06425	0.027666667	0.026916667	0.10675	0.033416667	0.027	0.0595	0.027166667	0.023333333	0.053833333	0.029916667	0.031083333	0.097833333
900	0.02925	0.028916667	0.060916667	0.02725	0.027	0.10475	0.03325	0.027166667	0.055	0.02725	0.02325	0.049666667	0.030083333	0.030916667	0.09775
1800	0.026416667	0.02425	0.056333333	0.024083333	0.02225	0.099416667	0.029166667	0.022833333	0.049666667	0.024083333	0.018833333	0.044	0.025916667	0.02625	0.091333333
2700	0.023333333	0.0225	0.055916667	0.020666667	0.02	0.098583333	0.025416667	0.0205	0.0485	0.02125	0.017083333	0.043916667	0.02175	0.024583333	0.089666667
3600	0.0285	0.024416667	0.0555	0.026	0.022333333	0.097916667	0.029916667	0.022833333	0.047333333	0.0265	0.019083333	0.04325	0.026416667	0.0265	0.089666667
4500	0.028	0.021666667	0.05325	0.025	0.019583333	0.096416667	0.02875	0.019666667	0.044666667	0.025833333	0.0165	0.040833333	0.024916667	0.023333333	0.086083333
5400	0.027416667	0.021416667	0.055166667	0.023666667	0.019416667	0.09825	0.026833333	0.019583333	0.04575	0.0245	0.016166667	0.04225	0.022583333	0.022833333	0.088333333
6300	0.03525	0.024583333	0.056666667	0.030666667	0.022666667	0.100166667	0.033416667	0.022666667	0.046	0.031916667	0.019416667	0.043166667	0.02825	0.025833333	0.088833333
7200	0.037583333	0.022583333	0.056833333	0.031833333	0.0205	0.100666667	0.033833333	0.019833333	0.044583333	0.0335	0.017666667	0.042833333	0.027666667	0.022833333	0.086
8100	0.039083333	0.02375	0.061666667	0.032	0.021666667	0.105166667	0.03275	0.0205	0.046833333	0.034583333	0.018916667	0.04625	0.025666667	0.023416667	0.08925
9000	0.050333333	0.028166667	0.065916667	0.04125	0.025416667	0.109416667	0.040166667	0.024083333	0.048666667	0.044416667	0.023166667	0.049416667	0.032166667	0.026416667	0.089666667
9900	0.055916667	0.028166667	0.069583333	0.044666667	0.024916667	0.112	0.041666667	0.022583333	0.049	0.048333333	0.02275	0.051666667	0.03225	0.0245	0.090083333
10800	0.06241667	0.03108333	0.07841667	0.04733333	0.027	0.118	0.04241667	0.02416667	0.05258333	0.05391667	0.02533333	0.0575	0.03133333	0.02508333	0.09183333
11700	0.07925	0.038083333	0.087916667	0.059166667	0.032416667	0.122916667	0.051333333	0.028416667	0.055833333	0.067333333	0.03175	0.06425	0.038916667	0.029	0.0945
12600	0.08825	0.041166667	0.099	0.06575	0.033916667	0.1265	0.054416667	0.027833333	0.057333333	0.07275	0.033416667	0.072416667	0.039833333	0.028	0.094333333
13500	0.095833333	0.049083333	0.112666667	0.073416667	0.039	0.133666667	0.057	0.030833333	0.0625	0.080583333	0.039416667	0.086083333	0.039916667	0.03	0.09825
