time	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5
0	-0.01025	0.005666667	0.08475	0.025416667	0.02325	0.089083333	0.02625	-0.011916667	0.003166667	0.078916667	0.024166667	0.025666667	0.087583333	0.027166667	-0.016333333	-0.003416667	0.122166667	0.008	0.00725	0.08475	0.028	-0.041333333	-0.01625	0.055416667	-0.004333333	-0.001916667	0.05625	0.00425	-0.0275	-0.001333333	0.074083333	0.010916667	0.009583333	0.070416667	0.011416667	-0.022	-0.003	0.07725	0.01475	0.013166667	0.076333333	0.01475	-0.033833333	-0.01175	0.07225	0.010333333	0.009333333	0.077833333	0.01375
900	0.0175	0.014166667	0.084083333	0.02525	0.0075	0.015333333	0.08	0.012416667	0.0095	0.076	0.022083333	0.0075	0.012083333	0.077166667	0.01175	0.005416667	0.1175	0.009666667	-0.008583333	0.013	0.081083333	-0.015	-0.007916667	0.053	-0.006333333	-0.018833333	-0.020083333	0.055666667	0	0.00575	0.073583333	0.009583333	-0.006166667	-0.003916667	0.0665	0.0035	0.001	0.0755	0.01225	-0.006083333	-0.00175	0.06575	-0.006333333	-0.004	0.071	0.00925	-0.007916667	0.003666667	0.065833333
1800	0.0295	-0.004166667	0.005	0.081833333	0.0185	0.023583333	0.080166667	0.024583333	-0.0095	-0.003833333	0.07825	0.017583333	0.0195	0.0775	0.024166667	-0.011333333	0.0385	0.067	0.00175	0.021833333	0.080166667	-0.00225	-0.026166667	-0.025666667	0.05125	-0.007083333	-0.01125	0.056	0.013	-0.01175	-0.004916667	0.067583333	0.006	0.00525	0.067416667	0.01525	-0.01775	-0.004416667	0.068916667	0.00475	0.00625	0.065666667	0.005583333	-0.02325	-0.008083333	0.065583333	0.00275	0.011583333	0.065083333
2700	0.08175	0.013333333	0.016166667	0.082	0.020333333	0.009416667	0.009	0.076	0.00725	0.007416667	0.078166667	0.019333333	0.005416667	0.005583333	0.075083333	0.005666667	0.04675	0.068166667	0.003666667	0.007083333	0.008833333	0.049833333	-0.009166667	-0.01425	0.05225	-0.005083333	-0.025166667	-0.015083333	0.065083333	0.005333333	0.006	0.0685	0.008166667	-0.008333333	-0.003833333	0.066583333	-0.000833333	0.005333333	0.069	0.00625	-0.00825	-0.006416667	0.056666667	-0.006916667	0.002416667	0.065416667	0.004	-0.003083333	-0.007333333
3600	0.08325	0.016166667	0.000416667	0.007833333	0.07925	0.022666667	0.01975	0.077083333	0.00975	-0.008166667	0.00375	0.078083333	0.018	0.01625	0.074833333	0.008083333	0.026833333	-0.005166667	0.060833333	0.01875	0.016666667	0.05075	-0.006916667	-0.030583333	-0.021916667	0.053166667	-0.0125	-0.005083333	0.065916667	0.0075	-0.01025	-0.005416667	0.066583333	0.004416667	0.00675	0.067416667	0.00125	-0.01175	-0.0055	0.064583333	0.004333333	0.004083333	0.05725	-0.0055	-0.0145	-0.00925	0.061666667	0.008833333	0.002416667
4500	-0.00625	0.08	0.017916667	0.0185	0.081	0.024833333	0.006666667	-0.012666667	0.073166667	0.00925	0.014583333	0.079416667	0.020583333	0.003083333	-0.016333333	0.07025	0.041583333	0.004333333	0.0605	0.019916667	0.001083333	-0.03975	0.05525	-0.014583333	-0.011583333	0.054166667	-0.010666667	-0.018666667	-0.024583333	0.069833333	0.00575	0.005083333	0.067416667	0.00625	-0.00725	-0.023083333	0.064166667	0.004583333	0.005416667	0.065666667	0.00625	-0.009833333	-0.033416667	0.05675	0.001333333	0.000583333	0.062083333	0.010083333	-0.011666667
5400	0.014583333	0.084166667	0.023166667	0.004916667	0.010166667	0.083916667	0.021833333	0.007916667	0.077	0.014166667	0.001	0.008583333	0.079333333	0.01775	0.000666667	0.072	0.040333333	-0.009666667	-0.012333333	0.075416667	0.013083333	-0.020916667	0.05725	-0.011	-0.025583333	-0.01775	0.047333333	-0.005583333	-0.005666667	0.071666667	0.008916667	-0.009	-0.0045	0.064166667	0.005916667	-0.003833333	0.0665	0.00825	-0.008833333	-0.00625	0.06425	0.00375	-0.014333333	0.058833333	0.004916667	-0.0135	-0.010333333	0.068	0.00125
6300	-0.007583333	0.008833333	0.086	0.020416667	0.022916667	0.086583333	0.026666667	-0.01425	0.001583333	0.077	0.016333333	0.021416667	0.081666667	0.0225	-0.02425	-0.006	0.097583333	0.003583333	-0.00325	0.076166667	0.013333333	-0.045166667	-0.020666667	0.049666667	-0.011166667	-0.006916667	0.048166667	-0.003	-0.030166667	-0.006333333	0.069333333	0.004833333	0.006166667	0.065083333	0.008333333	-0.028	-0.011	0.069	0.005833333	0.0045	0.06575	0.00675	-0.038666667	-0.018666667	0.065666667	0.001	0.000333333	0.069166667	0.00375
7200	0.023833333	0.023416667	0.091416667	0.0245	0.01225	0.018083333	0.086166667	0.016833333	0.015583333	0.08175	0.020083333	0.0105	0.01325	0.081666667	0.002666667	0.003583333	0.094666667	0.0055	-0.01725	0.00375	0.068166667	-0.016583333	-0.009666667	0.051416667	-0.008333333	-0.02	-0.021583333	0.054083333	-0.001916667	0.004583333	0.070666667	0.007666667	-0.0075	-0.005333333	0.064666667	0.00075	0.000666667	0.071083333	0.009	-0.008666667	-0.004166667	0.063666667	-0.009416667	-0.007083333	0.068083333	0.003666667	-0.013	-0.00075	0.060916667
8100	0.042666667	0.011583333	0.020333333	0.084833333	0.029166667	0.030416667	0.09225	0.035666667	0.003416667	0.010833333	0.08075	0.026833333	0.0255	0.087	0.016166667	-0.0135	0.013083333	0.06375	-0.006333333	0.0115	0.066916667	-0.000916667	-0.025916667	-0.024583333	0.050583333	-0.006833333	-0.0115	0.05625	0.013166667	-0.011916667	-0.005916667	0.066083333	0.005333333	0.004583333	0.066666667	0.0165	-0.01475	-0.004666667	0.067916667	0.004833333	0.005916667	0.06625	0.006916667	-0.02225	-0.006833333	0.062666667	0.000583333	0.01	0.063833333
