time	temperature	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6	A7	B7	C7	D7	E7	F7	G7	H7	A8	B8	C8	D8	E8	F8	G8	H8	A9	B9	C9	D9	E9	F9	G9	H9	A10	B10	C10	D10	E10	F10	G10	H10	A11	B11	C11	D11	E11	F11	G11	H11	A12	B12	C12	D12	E12	F12	G12	H12
0s	36.2 ¡C	0.088	0.087	0.106	0.087	0.089	0.091	0.087	0.085	0.09	0.09	0.096	0.087	0.089	0.088	0.091	0.089	0.095	0.09	0.091	0.093	0.092	0.09	0.092	0.096	0.09	0.091	0.088	0.091	0.09	0.088	0.09	0.094	0.09	0.096	0.093	0.093	0.093	0.09	0.094	0.089	0.088	0.091	0.089	0.085	0.089	0.089	0.09	0.089	0.091	0.089	0.159	0.091	0.095	0.155	0.141	0.093	0.092	0.088	0.158	0.096	0.102	0.163	0.144	0.096	0.091	0.087	0.157	0.1	0.112	0.166	0.147	0.099	0.094	0.095	0.19	0.11	0.105	0.183	0.093	0.101	0.095	0.094	0.197	0.095	0.111	0.182	0.09	0.126	0.095	0.095	0.18	0.097	0.102	0.176	0.089	0.093
900s	36.8 ¡C	0.087	0.086	0.106	0.086	0.088	0.09	0.087	0.085	0.088	0.089	0.095	0.086	0.088	0.087	0.091	0.089	0.091	0.088	0.09	0.091	0.091	0.088	0.092	0.096	0.089	0.087	0.087	0.089	0.089	0.087	0.089	0.093	0.088	0.092	0.091	0.092	0.093	0.088	0.094	0.088	0.087	0.089	0.088	0.084	0.086	0.09	0.09	0.088	0.091	0.09	0.159	0.091	0.095	0.156	0.139	0.093	0.091	0.086	0.157	0.092	0.101	0.162	0.143	0.094	0.089	0.086	0.158	0.095	0.11	0.163	0.148	0.098	0.094	0.093	0.187	0.106	0.101	0.181	0.089	0.101	0.092	0.089	0.194	0.093	0.106	0.181	0.089	0.124	0.094	0.093	0.177	0.096	0.102	0.174	0.089	0.092
1801s	36.8 ¡C	0.087	0.086	0.105	0.086	0.088	0.089	0.087	0.085	0.088	0.089	0.095	0.086	0.088	0.087	0.091	0.089	0.091	0.088	0.089	0.091	0.091	0.088	0.091	0.095	0.089	0.087	0.087	0.089	0.088	0.087	0.089	0.093	0.088	0.091	0.091	0.091	0.095	0.088	0.094	0.088	0.087	0.089	0.088	0.088	0.085	0.089	0.089	0.088	0.092	0.089	0.159	0.091	0.095	0.156	0.141	0.093	0.091	0.086	0.158	0.092	0.101	0.162	0.142	0.094	0.089	0.086	0.158	0.095	0.108	0.163	0.149	0.098	0.093	0.093	0.184	0.105	0.101	0.179	0.089	0.1	0.092	0.089	0.191	0.093	0.105	0.179	0.089	0.122	0.093	0.092	0.176	0.095	0.102	0.171	0.089	0.092
2700s	37.0 ¡C	0.087	0.086	0.105	0.086	0.088	0.09	0.087	0.085	0.088	0.089	0.094	0.086	0.088	0.087	0.091	0.089	0.091	0.088	0.089	0.091	0.091	0.088	0.091	0.095	0.089	0.086	0.086	0.089	0.088	0.087	0.089	0.093	0.087	0.091	0.091	0.091	0.094	0.088	0.093	0.088	0.087	0.088	0.091	0.088	0.085	0.089	0.092	0.088	0.091	0.089	0.159	0.09	0.094	0.156	0.144	0.093	0.091	0.086	0.158	0.092	0.101	0.162	0.143	0.094	0.089	0.086	0.158	0.094	0.108	0.163	0.15	0.098	0.094	0.093	0.183	0.104	0.101	0.176	0.089	0.1	0.092	0.093	0.19	0.093	0.104	0.177	0.088	0.122	0.093	0.092	0.175	0.095	0.102	0.17	0.089	0.092
3600s	36.8 ¡C	0.087	0.086	0.105	0.086	0.088	0.09	0.087	0.085	0.088	0.088	0.094	0.085	0.088	0.087	0.091	0.089	0.09	0.088	0.089	0.09	0.09	0.088	0.091	0.095	0.088	0.086	0.086	0.089	0.088	0.087	0.089	0.093	0.087	0.091	0.091	0.091	0.094	0.088	0.093	0.088	0.087	0.088	0.09	0.087	0.085	0.089	0.092	0.088	0.091	0.089	0.159	0.09	0.094	0.156	0.146	0.092	0.091	0.086	0.158	0.092	0.101	0.162	0.143	0.094	0.089	0.086	0.157	0.094	0.108	0.163	0.156	0.098	0.094	0.093	0.182	0.104	0.101	0.175	0.089	0.1	0.092	0.093	0.188	0.093	0.104	0.176	0.089	0.121	0.093	0.093	0.174	0.095	0.102	0.169	0.089	0.092
4501s	36.8 ¡C	0.087	0.087	0.105	0.086	0.088	0.089	0.087	0.085	0.088	0.088	0.094	0.085	0.088	0.087	0.09	0.089	0.091	0.088	0.089	0.09	0.09	0.088	0.091	0.096	0.089	0.086	0.086	0.089	0.089	0.086	0.089	0.093	0.087	0.091	0.091	0.091	0.095	0.088	0.094	0.088	0.087	0.089	0.09	0.087	0.085	0.089	0.091	0.088	0.091	0.089	0.159	0.09	0.094	0.155	0.147	0.092	0.091	0.086	0.158	0.092	0.1	0.161	0.144	0.094	0.089	0.086	0.157	0.094	0.108	0.162	0.158	0.098	0.094	0.093	0.181	0.104	0.101	0.174	0.089	0.1	0.092	0.093	0.187	0.093	0.105	0.175	0.089	0.12	0.093	0.093	0.173	0.095	0.101	0.167	0.088	0.092
5400s	36.6 ¡C	0.087	0.086	0.105	0.086	0.088	0.09	0.087	0.085	0.088	0.088	0.094	0.086	0.088	0.087	0.09	0.089	0.09	0.088	0.089	0.09	0.09	0.089	0.09	0.096	0.088	0.086	0.086	0.089	0.089	0.087	0.089	0.093	0.087	0.091	0.091	0.091	0.094	0.088	0.094	0.088	0.086	0.088	0.09	0.087	0.085	0.089	0.091	0.088	0.091	0.089	0.159	0.09	0.094	0.155	0.147	0.092	0.091	0.086	0.158	0.092	0.1	0.161	0.145	0.094	0.089	0.086	0.157	0.094	0.108	0.162	0.159	0.098	0.094	0.093	0.18	0.104	0.101	0.173	0.089	0.1	0.092	0.093	0.186	0.093	0.105	0.174	0.089	0.12	0.093	0.092	0.172	0.095	0.102	0.167	0.088	0.092
6300s	36.9 ¡C	0.086	0.086	0.104	0.086	0.088	0.089	0.087	0.085	0.088	0.088	0.094	0.085	0.088	0.086	0.09	0.089	0.09	0.088	0.089	0.09	0.09	0.088	0.09	0.096	0.088	0.086	0.086	0.089	0.088	0.086	0.089	0.093	0.087	0.091	0.091	0.091	0.094	0.088	0.094	0.088	0.087	0.088	0.09	0.087	0.085	0.089	0.091	0.088	0.091	0.089	0.159	0.09	0.094	0.154	0.148	0.092	0.091	0.086	0.157	0.092	0.1	0.161	0.145	0.094	0.088	0.086	0.157	0.094	0.108	0.162	0.16	0.098	0.094	0.093	0.179	0.104	0.101	0.172	0.089	0.1	0.092	0.094	0.185	0.093	0.104	0.174	0.089	0.12	0.093	0.093	0.171	0.096	0.102	0.165	0.089	0.092
7201s	36.7 ¡C	0.087	0.086	0.104	0.086	0.088	0.089	0.087	0.085	0.088	0.088	0.093	0.086	0.088	0.086	0.09	0.088	0.09	0.088	0.089	0.09	0.09	0.088	0.09	0.095	0.088	0.086	0.086	0.089	0.088	0.086	0.089	0.093	0.088	0.091	0.091	0.091	0.094	0.088	0.093	0.088	0.087	0.088	0.09	0.087	0.085	0.089	0.091	0.088	0.091	0.089	0.158	0.09	0.094	0.154	0.148	0.092	0.091	0.086	0.157	0.092	0.101	0.16	0.146	0.093	0.089	0.086	0.157	0.095	0.108	0.161	0.161	0.098	0.094	0.093	0.178	0.104	0.101	0.171	0.089	0.1	0.092	0.094	0.184	0.093	0.104	0.173	0.088	0.12	0.093	0.093	0.171	0.095	0.102	0.165	0.088	0.092
8100s	36.8 ¡C	0.087	0.086	0.104	0.086	0.088	0.089	0.087	0.085	0.088	0.088	0.094	0.086	0.088	0.087	0.09	0.089	0.09	0.088	0.089	0.09	0.09	0.088	0.091	0.095	0.088	0.086	0.086	0.089	0.088	0.086	0.089	0.092	0.087	0.092	0.091	0.091	0.094	0.088	0.093	0.088	0.087	0.088	0.09	0.087	0.085	0.089	0.091	0.088	0.091	0.089	0.158	0.09	0.094	0.154	0.148	0.092	0.091	0.086	0.157	0.092	0.1	0.16	0.146	0.093	0.089	0.086	0.157	0.095	0.107	0.161	0.162	0.098	0.094	0.093	0.177	0.104	0.101	0.171	0.089	0.1	0.092	0.094	0.183	0.093	0.105	0.172	0.089	0.12	0.093	0.093	0.17	0.095	0.101	0.164	0.089	0.092
