Toxin assay date	wellID	sampleID	group	expID	Strain	Toxin
4/2/21	A01	1-A-5mM	Ace5	SCFACU30	630	4.301029996
4/2/21	A01	1-A-5mM	Ace5	SCFACU30	630	4.301029996
4/2/21	B01	1-A-25mM	Ace25	SCFACU30	630	3.301029996
4/2/21	B01	1-A-25mM	Ace25	SCFACU30	630	3.301029996
4/2/21	C01	1-P-5mM	Pro5	SCFACU30	630	4.301029996
4/2/21	C01	1-P-5mM	Pro5	SCFACU30	630	4.301029996
4/2/21	D01	1-P-25mM	Pro25	SCFACU30	630	4.301029996
4/2/21	D01	1-P-25mM	Pro25	SCFACU30	630	4.301029996
4/2/21	E01	1-B-5mM	But5	SCFACU30	630	4.301029996
4/2/21	E01	1-B-5mM	But5	SCFACU30	630	4.301029996
4/2/21	F01	1-B-25mM	But25	SCFACU30	630	5.301029996
4/2/21	F01	1-B-25mM	But25	SCFACU30	630	4.301029996
4/2/21	G01	1-BHI	BHI	SCFACU30	630	4.301029996
4/2/21	G01	1-BHI	BHI	SCFACU30	630	4.301029996
4/2/21	G02	2-BHI	BHI	SCFACU30	630	4.301029996
4/2/21	G02	2-BHI	BHI	SCFACU30	630	4.301029996
4/9/21	A02	2-A-5mM	Ace5	SCFACU30	630	3.301029996
4/9/21	A02	2-A-5mM	Ace5	SCFACU30	630	3.301029996
4/9/21	B02	2-A-25mM	Ace25	SCFACU30	630	4.301029996
4/9/21	B02	2-A-25mM	Ace25	SCFACU30	630	4.301029996
4/9/21	C02	2-P-5mM	Pro5	SCFACU30	630	4.301029996
4/9/21	C02	2-P-5mM	Pro5	SCFACU30	630	4.301029996
4/9/21	D02	2-P-25mM	Pro25	SCFACU30	630	4.301029996
4/9/21	D02	2-P-25mM	Pro25	SCFACU30	630	5.301029996
4/9/21	E02	2-B-5mM	But5	SCFACU30	630	4.301029996
4/9/21	E02	2-B-5mM	But5	SCFACU30	630	4.301029996
4/9/21	F02	2-B-25mM	But25	SCFACU30	630	5.301029996
4/9/21	F02	2-B-25mM	But25	SCFACU30	630	5.301029996
4/9/21	G02	2-BHI	BHI	SCFACU30	630	5.301029996
4/9/21	G02	2-BHI	BHI	SCFACU30	630	5.301029996
4/9/21	G03	3-BHI	BHI	SCFACU30	630	4.301029996
4/9/21	G03	3-BHI	BHI	SCFACU30	630	4.301029996
4/16/21	A01	1-B-5mM	But5	SCFACU37	630	4.301029996
4/16/21	A01	1-B-5mM	But5	SCFACU37	630	4.301029996
4/16/21	B01	1-B-10mM	But10	SCFACU37	630	4.301029996
4/16/21	B01	1-B-10mM	But10	SCFACU37	630	4.301029996
4/16/21	C01	1-B-25mM	But25	SCFACU37	630	5.301029996
4/16/21	C01	1-B-25mM	But25	SCFACU37	630	5.301029996
4/16/21	D01	1-B-50mM	But50	SCFACU37	630	5.301029996
4/16/21	D01	1-B-50mM	But50	SCFACU37	630	5.301029996
4/16/21	G01	1-BHI	BHI	SCFACU37	630	1.301029996
4/16/21	G01	1-BHI	BHI	SCFACU37	630	1.301029996
4/16/21	D02	2-B-50mM	But50	SCFACU37	630	5.301029996
4/16/21	D02	2-B-50mM	But50	SCFACU37	630	5.301029996
4/16/21	C02	2-B-25mM	But25	SCFACU37	630	5.301029996
4/16/21	C02	2-B-25mM	But25	SCFACU37	630	5.301029996
4/16/21	B02	2-B-10mM	But10	SCFACU37	630	4.301029996
4/16/21	B02	2-B-10mM	But10	SCFACU37	630	4.301029996
4/16/21	A02	2-B-5mM	But5	SCFACU37	630	4.301029996
4/16/21	A02	2-B-5mM	But5	SCFACU37	630	4.301029996
5/4/21	A03	3-B-5mM	But5	SCFACU37	630	3.301029996
5/4/21	A03	3-B-5mM	But5	SCFACU37	630	4.301029996
5/4/21	B03	3-B-10mM	But10	SCFACU37	630	4.301029996
5/4/21	B03	3-B-10mM	But10	SCFACU37	630	4.301029996
5/4/21	C03	3-B-25mM	But25	SCFACU37	630	5.301029996
5/4/21	C03	3-B-25mM	But25	SCFACU37	630	5.301029996
5/4/21	D03	3-B-50mM	But50	SCFACU37	630	5.301029996
5/4/21	D03	3-B-50mM	But50	SCFACU37	630	5.301029996
5/4/21	G03	3-BHI	BHI	SCFACU37	630	1.301029996
5/4/21	G03	3-BHI	BHI	SCFACU37	630	1.301029996
5/4/21	D04	4-B-50mM	But50	SCFACU37	630	4.301029996
5/4/21	D04	4-B-50mM	But50	SCFACU37	630	5.301029996
5/4/21	C04	4-B-25mM	But25	SCFACU37	630	5.301029996
5/4/21	C04	4-B-25mM	But25	SCFACU37	630	4.301029996
5/4/21	B04	4-B-10mM	But10	SCFACU37	630	4.301029996
5/4/21	B04	4-B-10mM	But10	SCFACU37	630	4.301029996
5/4/21	A04	4-B-5mM	But5	SCFACU37	630	5.301029996
5/4/21	A04	4-B-5mM	But5	SCFACU37	630	4.301029996
5/4/21	A06	6-B-5mM	But5	SCFACU37	630	4.301029996
5/4/21	A06	6-B-5mM	But5	SCFACU37	630	4.301029996
5/4/21	B06	6-B-10mM	But10	SCFACU37	630	4.301029996
5/4/21	B06	6-B-10mM	But10	SCFACU37	630	4.301029996
5/4/21	C06	6-B-25mM	But25	SCFACU37	630	5.301029996
5/4/21	C06	6-B-25mM	But25	SCFACU37	630	4.301029996
5/4/21	D06	6-B-50mM	But50	SCFACU37	630	5.301029996
5/4/21	D06	6-B-50mM	But50	SCFACU37	630	4.301029996
