Toxin assay date	wellID	sampleID	group	expID	Strain	Toxin
2/26/21	A01	1-A-5mM	Ace5	SCFACU26	R20291	5.30103
2/26/21	A01	1-A-5mM	Ace5	SCFACU26	R20291	5.30103
2/26/21	B01	1-A-25mM	Ace25	SCFACU26	R20291	4.30103
2/26/21	B01	1-A-25mM	Ace25	SCFACU26	R20291	4.30103
2/26/21	C01	1-P-5mM	Pro5	SCFACU26	R20291	5.30103
2/26/21	C01	1-P-5mM	Pro5	SCFACU26	R20291	4.30103
2/26/21	D01	1-P-25mM	Pro25	SCFACU26	R20291	4.30103
2/26/21	D01	1-P-25mM	Pro25	SCFACU26	R20291	5.30103
2/26/21	E01	1-B-5mM	But5	SCFACU26	R20291	4.30103
2/26/21	E01	1-B-5mM	But5	SCFACU26	R20291	5.30103
2/26/21	F01	1-B-25mM	But25	SCFACU26	R20291	4.30103
2/26/21	F01	1-B-25mM	But25	SCFACU26	R20291	4.30103
6/9/21	A03	1-A-5mM	Ace5	SCFACU27	R20291	6.30103
6/9/21	A03	1-A-5mM	Ace5	SCFACU27	R20291	5.30103
6/9/21	B03	1-A-25mM	Ace25	SCFACU27	R20291	6.30103
6/9/21	B03	1-A-25mM	Ace25	SCFACU27	R20291	5.30103
6/9/21	C03	1-P-5mM	Pro5	SCFACU27	R20291	6.30103
6/9/21	C03	1-P-5mM	Pro5	SCFACU27	R20291	6.30103
6/9/21	D03	1-P-25mM	Pro25	SCFACU27	R20291	6.30103
6/9/21	D03	1-P-25mM	Pro25	SCFACU27	R20291	6.30103
6/9/21	E03	1-B-5mM	But5 	SCFACU27	R20291	6.30103
6/9/21	E03	1-B-5mM	But5	SCFACU27	R20291	6.30103
6/9/21	F03	1-B-25mM	But25	SCFACU27	R20291	6.30103
6/9/21	F03	1-B-25mM	But25	SCFACU27	R20291	6.30103
6/9/21	H03	1-B-25mM	But25	SCFACU27	R20291	5.30103
6/9/21	H03	1-B-25mM	But25	SCFACU27	R20291	5.30103
6/9/21	A04	1-BHI	BHI	SCFACU27	R20291	2.30103
6/9/21	A04	1-BHI	BHI	SCFACU27	R20291	2.30103
6/9/21	B04	1-A-5mM	Ace5	SCFACU27	R20291	5.30103
6/9/21	B04	1-A-5mM	Ace5	SCFACU27	R20291	5.30103
6/9/21	C04	1-A-25mM	Ace25	SCFACU27	R20291	5.30103
6/9/21	C04	1-A-25mM	Ace25	SCFACU27	R20291	4.30103
6/9/21	D04	1-P-5mM	Pro5	SCFACU27	R20291	6.30103
6/9/21	D04	1-P-5mM	Pro5	SCFACU27	R20291	7.30103
6/9/21	E04	1-P-25mM	Pro25	SCFACU27	R20291	6.30103
6/9/21	E04	1-P-25mM	Pro25	SCFACU27	R20291	6.30103
6/9/21	F04	1-B-5mM	But5	SCFACU27	R20291	5.30103
6/9/21	F04	1-B-5mM	But5	SCFACU27	R20291	5.30103
6/9/21	H04	1-BHI	BHI	SCFACU27	R20291	3.30103
6/9/21	H04	1-BHI	BHI	SCFACU27	R20291	3.30103
6/9/21	B05	1-A-25mM	Ace25	SCFACU27	R20291	4.30103
6/9/21	B05	1-A-25mM	Ace25	SCFACU27	R20291	4.30103
6/9/21	D05	1-P-25mM	Pro25	SCFACU27	R20291	4.30103
6/9/21	D05	1-P-25mM	Pro25	SCFACU27	R20291	4.30103
6/9/21	F05	1-B-25mM	But25	SCFACU27	R20291	4.30103
6/9/21	F05	1-B-25mM	But25	SCFACU27	R20291	4.30103
6/9/21	E05	1-B-5mM	But5	SCFACU27	R20291	5.30103
6/9/21	E05	1-B-5mM	But5	SCFACU27	R20291	5.30103
