Toxin assay date	wellID	sampleID	group	expID	Strain	Toxin
2/19/21	A01	1-A-5mM	Ace5	SCFACU24	VPI	7.301029996
2/19/21	A01	1-A-5mM	Ace5	SCFACU24	VPI	7.301029996
2/19/21	B01	1-A-25mM	Ace25	SCFACU24	VPI	6.301029996
2/19/21	B01	1-A-25mM	Ace25	SCFACU24	VPI	6.301029996
2/19/21	C01	1-P-5mM	Pro5	SCFACU24	VPI	7.301029996
2/19/21	C01	1-P-5mM	Pro5	SCFACU24	VPI	7.301029996
2/19/21	D01	1-P-25mM	Pro25	SCFACU24	VPI	7.301029996
2/19/21	D01	1-P-25mM	Pro25	SCFACU24	VPI	7.301029996
2/19/21	E01	1-B-5mM	But5	SCFACU24	VPI	7.301029996
2/19/21	E01	1-B-5mM	But5	SCFACU24	VPI	7.301029996
2/19/21	F01	1-B-25mM	But25	SCFACU24	VPI	8.301029996
2/19/21	F01	1-B-25mM	But25	SCFACU24	VPI	8.301029996
5/29/21	A03	1-A-5mM	Ace5	SCFACU25	VPI	9.301029996
5/29/21	A03	1-A-5mM	Ace5	SCFACU25	VPI	9.301029996
5/29/21	B03	1-A-25mM	Ace25	SCFACU25	VPI	10.30103
5/29/21	B03	1-A-25mM	Ace25	SCFACU25	VPI	10.30103
5/29/21	C03	1-P-5mM	Pro5	SCFACU25	VPI	11.30103
5/29/21	C03	1-P-5mM	Pro5	SCFACU25	VPI	11.30103
5/29/21	D03	1-P-25mM	Pro25	SCFACU25	VPI	11.30103
5/29/21	D03	1-P-25mM	Pro25	SCFACU25	VPI	10.30103
5/29/21	E03	1-B-5mM	But5 	SCFACU25	VPI	11.30103
5/29/21	E03	1-B-5mM	But5	SCFACU25	VPI	11.30103
5/29/21	F03	1-B-25mM	But25	SCFACU25	VPI	9.301029996
5/29/21	F03	1-B-25mM	But25	SCFACU25	VPI	10.30103
5/29/21	F04	1-B-25mM	But25	SCFACU25	VPI	10.30103
5/29/21	F04	1-B-25mM	But25	SCFACU25	VPI	10.30103
5/29/21	H03	1-BHI	BHI	SCFACU25	VPI	8.301029996
5/29/21	H03	1-BHI	BHI	SCFACU25	VPI	8.301029996
5/29/21	A04	1-A-5mM	Ace5	SCFACU25	VPI	10.30103
5/29/21	A04	1-A-5mM	Ace5	SCFACU25	VPI	9.301029996
5/29/21	B04	1-A-25mM	Ace25	SCFACU25	VPI	10.30103
5/29/21	B04	1-A-25mM	Ace25	SCFACU25	VPI	11.30103
5/29/21	C04	1-P-5mM	Pro5	SCFACU25	VPI	11.30103
5/29/21	C04	1-P-5mM	Pro5	SCFACU25	VPI	11.30103
5/29/21	D04	1-P-25mM	Pro25	SCFACU25	VPI	11.30103
5/29/21	D04	1-P-25mM	Pro25	SCFACU25	VPI	10.30103
5/29/21	E04	1-B-5mM	But5	SCFACU25	VPI	11.30103
5/29/21	E04	1-B-5mM	But5	SCFACU25	VPI	11.30103
5/29/21	H04	1-BHI	BHI	SCFACU25	VPI	9.301029996
5/29/21	H04	1-BHI	BHI	SCFACU25	VPI	9.301029996
5/29/21	B05	1-A-25mM	Ace25	SCFACU25	VPI	9.301029996
5/29/21	B05	1-A-25mM	Ace25	SCFACU25	VPI	9.301029996
5/29/21	D05	1-P-25mM	Pro25	SCFACU25	VPI	9.301029996
5/29/21	D05	1-P-25mM	Pro25	SCFACU25	VPI	9.301029996
5/29/21	F05	1-B-25mM	But25	SCFACU25	VPI	9.301029996
5/29/21	F05	1-B-25mM	But25	SCFACU25	VPI	9.301029996
5/29/21	E05	1-B-5mM	But5	SCFACU25	VPI	9.301029996
5/29/21	E05	1-B-5mM	But5	SCFACU25	VPI	9.301029996
6/3/21	A03	1-A-5mM	Ace5	SCFACU23	VPI	9.301029996
6/3/21	A03	1-A-5mM	Ace5	SCFACU23	VPI	9.301029996
6/3/21	B03	1-A-25mM	Ace25	SCFACU23	VPI	8.301029996
6/3/21	B03	1-A-25mM	Ace25	SCFACU23	VPI	8.301029996
6/3/21	C03	1-P-5mM	Pro5	SCFACU23	VPI	8.301029996
6/3/21	C03	1-P-5mM	Pro5	SCFACU23	VPI	8.301029996
6/3/21	D03	1-P-25mM	Pro25	SCFACU23	VPI	7.301029996
6/3/21	D03	1-P-25mM	Pro25	SCFACU23	VPI	7.301029996
6/3/21	E03	1-B-5mM	But5 	SCFACU23	VPI	8.301029996
6/3/21	E03	1-B-5mM	But5	SCFACU23	VPI	8.301029996
6/3/21	F03	1-B-25mM	But25	SCFACU23	VPI	8.301029996
6/3/21	F03	1-B-25mM	But25	SCFACU23	VPI	9.301029996
6/3/21	F04	1-B-25mM	But25	SCFACU23	VPI	8.301029996
6/3/21	F04	1-B-25mM	But25	SCFACU23	VPI	8.301029996
6/3/21	H03	1-BHI	BHI	SCFACU23	VPI	7.301029996
6/3/21	H03	1-BHI	BHI	SCFACU23	VPI	7.301029996
6/3/21	A04	1-A-5mM	Ace5	SCFACU23	VPI	9.301029996
6/3/21	A04	1-A-5mM	Ace5	SCFACU23	VPI	9.301029996
6/3/21	B04	1-A-25mM	Ace25	SCFACU23	VPI	8.301029996
6/3/21	B04	1-A-25mM	Ace25	SCFACU23	VPI	8.301029996
6/3/21	C04	1-P-5mM	Pro5	SCFACU23	VPI	7.301029996
6/3/21	C04	1-P-5mM	Pro5	SCFACU23	VPI	7.301029996
6/3/21	D04	1-P-25mM	Pro25	SCFACU23	VPI	10.30103
6/3/21	D04	1-P-25mM	Pro25	SCFACU23	VPI	9.301029996
6/3/21	E04	1-B-5mM	But5	SCFACU23	VPI	9.301029996
6/3/21	E04	1-B-5mM	But5	SCFACU23	VPI	9.301029996
6/3/21	H04	1-BHI	BHI	SCFACU23	VPI	2.301029996
6/3/21	H04	1-BHI	BHI	SCFACU23	VPI	2.301029996
6/3/21	B05	1-A-25mM	Ace25	SCFACU23	VPI	6.301029996
6/3/21	B05	1-A-25mM	Ace25	SCFACU23	VPI	7.301029996
6/3/21	D05	1-P-25mM	Pro25	SCFACU23	VPI	9.301029996
6/3/21	D05	1-P-25mM	Pro25	SCFACU23	VPI	8.301029996
6/3/21	F05	1-B-25mM	But25	SCFACU23	VPI	12.30103
6/3/21	F05	1-B-25mM	But25	SCFACU23	VPI	11.30103
6/3/21	E05	1-B-5mM	But5	SCFACU23	VPI	11.30103
6/3/21	E05	1-B-5mM	But5	SCFACU23	VPI	8.301029996
