expID	BHI_delCt	Butyrate_delCt	gene	deldelCt	fc	logfc	time
exp_0615	0.152233504	-0.346689315	codY	-0.498922819	1.413158041	0.498922819	late
exp_0615	3.011053513	1.914655068	ccpA	-1.096398445	2.138202432	1.096398445	late
exp_0615	1.427146522	0.622288568	rex	-0.804857954	1.746973779	0.804857954	late
exp_0615	-1.338504092	-0.8958015	codY	0.442702592	0.735755032	-0.442702592	
exp_0615	1.033578736	3.540120686	ccpA	2.50654195	0.17597691	-2.50654195	
exp_0615	-1.248326108	-2.129233909	rex	-0.880907801	1.841533703	0.880907801	
exp_0615	-0.494768038	-1.230886183	codY	-0.736118145	1.665687943	0.736118145	
exp_0615	-2.930173874	-1.46625761	rex	1.463916264	0.362507748	-1.463916264	
exp_0603	0.432567956	-0.832625476	codY	-1.265193432	2.403594343	1.265193432	late
exp_0603	3.848584917	2.14559122	ccpA	-1.702993697	3.255758516	1.702993697	late
exp_0603	2.115056876	0.744263923	rex	-1.370792953	2.586126692	1.370792953	late
exp_0603	-1.464109198	-1.588083895	codY	-0.123974697	1.089732999	0.123974697	late
exp_0603	1.02324075	1.023470203	ccpA	0.000229453	0.999840968	-0.000229453	late
exp_0603	-1.190638181	-1.685296415	rex	-0.494658233	1.408986934	0.494658233	late
exp_0603	-0.21182613	-2.288453557	codY	-2.076627426	4.218199784	2.076627426	
exp_0603	-0.356034405	0.596072258	ccpA	0.952106663	0.516877152	-0.952106663	
exp_0603	-2.189577779	-2.345373556	rex	-0.155795777	1.114035941	0.155795777	
exp_0601	0.326075252	-0.30448097	codY	-0.630556222	1.548161762	0.630556222	late
exp_0601	3.539051527	2.62343186	ccpA	-0.915619667	1.886379136	0.915619667	late
exp_0601	1.166282517	1.411451637	rex	0.24516912	0.843716886	-0.24516912	late
exp_0601	-1.309038387	-1.678926223	codY	-0.369887837	1.29225236	0.369887837	late
exp_0601	1.267994013	0.059745677	ccpA	-1.208248337	2.310569262	1.208248337	late
exp_0601	-1.140656483	-1.783071307	rex	-0.642414823	1.560939718	0.642414823	late
exp_0601	-0.72491455	-1.456170657	codY	-0.731256107	1.660083842	0.731256107	
exp_0601	-1.21364977	1.465486887	ccpA	2.679136657	0.156134725	-2.679136657	
exp_0601	-2.856922227	-1.482046197	rex	1.37487603	0.385585838	-1.37487603	
exp_0517	-1.195122496	-4.22490612	codY	-3.029783624	8.166872044	3.029783624	
exp_0517	0.902086778	-1.793955765	ccpA	-2.696042544	6.480218882	2.696042544	
exp_0517	-0.528431918	-4.242277001	rex	-3.713845083	13.12135753	3.713845083	
exp_0517	2.168138362	-0.210141114	codY	-2.378279476	5.199163322	2.378279476	
exp_0517	3.736922049	3.171346533	ccpA	-0.565575516	1.47997778	0.565575516	
exp_0517	1.45577408	0.645593079	rex	-0.810181001	1.753431415	0.810181001	
exp_0513	-1.966534337	-2.503489006	codY	-0.536954669	1.450906618	0.536954669	early
exp_0513	0.087776339	0.051995382	ccpA	-0.035780957	1.025111585	0.035780957	early
exp_0513	-1.254433986	-2.237089963	rex	-0.982655978	1.97610003	0.982655978	early
exp_0513	0.742704185	0.356649283	codY	-0.386054902	1.306814984	0.386054902	early
exp_0513	3.550406998	3.532739934	ccpA	-0.017667063	1.012321163	0.017667063	early
exp_0513	1.357678237	0.678782258	rex	-0.678895979	1.600914188	0.678895979	early
exp_0509	4.451573291	4.377134863	tcdR	-0.074438428	1.052951093	0.074438428	late
exp_0509	3.440429983	3.285536607	tcdC	-0.154893375	1.113339332	0.154893375	late
exp_0509	6.82437003	5.615569296	tcdR	-1.208800734	2.311454131	1.208800734	late
exp_0509	3.443096813	3.93673493	tcdC	0.493638117	0.71023181	-0.493638117	late
exp_0509	9.51565578	7.902303495	tcdR	-1.613352285	3.059619578	1.613352285	
exp_0509	5.83252706	6.67798474	tcdC	0.84545768	0.556534226	-0.84545768	late
exp_0429	4.067040356	2.828108997	tcdC	-1.238931359	2.360236388	1.238931359	
exp_0422	10.69684734	9.989067063	tcdR	-0.707780282	1.633289218	0.707780282	early
exp_0422	5.291072981	5.66975328	tcdC	0.378680299	0.769140838	-0.378680299	early
exp_0422	8.769618982	6.14761703	tcdR	-2.622001952	6.15603721	2.622001952	
exp_0422	4.608244155	0.84529905	tcdC	-3.762945105	13.57560986	3.762945105	
exp_0418	9.628681309	7.787746947	tcdR	-1.840934362	3.582419688	1.840934362	early
exp_0418	5.715113451	5.733514605	tcdC	0.018401154	0.987326289	-0.018401154	early
DK	6.254241059	6.372326328	tcdC	0.118085269	0.921409726	-0.118085269	early
DK	7.537988816	6.701789787	tcdR	-0.836199029	1.785340225	0.836199029	late
DK	3.82819545	3.197882598	tcdR	-0.630312852	1.547900623	0.630312852	late
DK	9.515655776	7.902303495	tcdR	-1.613352281	3.05961957	1.613352281	late
DK	6.057988457	7.281277335	tcdC	1.223288878	0.428305207	-1.223288878	late
DK	6.995353489	7.763570395	tcdC	0.768216906	0.587142703	-0.768216906	late
DK	0.877778627	0.53249496	codY	-0.345283667	1.270400748	0.345283667	early
DK	1.231838498	1.886671253	rex	0.654832755	0.635149117	-0.654832755	early
DK	3.402449081	3.030581968	ccpA	-0.371867113	1.294026456	0.371867113	early
DK	8.190507953	6.252851745	tcdR	-1.937656208	3.830827884	1.937656208	early
DK	3.125473729	6.009345049	tcdR	2.88387132	0.135477829	-2.88387132	early
DK	11.08815307	10.38502667	tcdR	-0.7031264	1.628029002	0.7031264	early
