Geneid	A1_S61_early_BHI_1	A2_S62_early_BHI_2	A3_S63_early_BHI_3	A7_S64_late_BHI_1	A8_S65_late_BHI_2	A9_S66_late_BHI_3	B1_S67_early_butyrate_1	B2_S68_early_Butyrate_2	B3_S69_early_Butyrate_3	B7_S70_late_Butyrate_1	B8_S71_late_Butyrate_2	B9_S72_late_Butyrate_3
cds-CAJ66815.1	14026	10429	14173	9581	8882	854	8287	10421	8384	13259	10676	5195
cds-CAJ66816.2	2214	1895	2020	1925	1366	150	1500	5432	4241	4828	5191	2073
cds-CAJ66817.1	90	66	23	42	69	6	16	185	199	147	286	105
cds-CAJ66818.1	781	655	430	823	481	48	461	3030	3182	2828	3337	1674
cds-CAJ66819.1	8441	8291	8118	5973	7696	769	5753	6409	6163	7369	6197	2480
cds-CAJ66820.1	12868	12685	13589	9737	11684	1572	8797	11879	11329	13740	11997	5424
cds-CAJ66821.1	16	13	7	11	11	6	12	72	60	63	98	102
cds-CAJ66822.1	24	16	5	29	28	10	14	132	99	71	197	117
cds-CAJ66823.1	19	32	47	30	31	13	33	839	617	735	1129	592
cds-CAJ66824.1	217	169	158	172	196	85	140	415	330	390	543	279
cds-CAJ66825.1	520	490	555	436	670	358	372	1044	904	1172	1412	911
cds-CAJ66826.1	1270	898	1124	912	702	335	653	1189	1136	1242	2375	1590
cds-CAJ66827.1	650	622	759	685	460	209	464	1063	1014	1064	2077	1766
cds-CAJ66828.1	4193	4227	5571	3326	3853	5129	3094	4167	4981	5285	11137	5201
cds-CAJ66829.1	1359	1129	920	1500	878	236	866	1576	2222	2048	2553	2274
cds-CAJ66830.1	5569	4193	4257	3852	2476	446	2670	3223	4162	5386	4735	2407
cds-CAJ66831.1	1497	1579	1832	1333	1341	269	943	1025	1005	1804	1459	972
cds-CAJ66832.1	3147	3691	5171	2997	4032	750	2121	2767	2146	3163	2988	2221
cds-CCA62784.1	7	11	1	9	2	3	6	59	62	54	100	104
cds-CAJ66833.1	1881	1272	1275	1368	794	382	1213	2886	2288	2764	3451	1992
cds-CAJ66834.1	689	538	564	365	272	12	219	342	410	417	313	128
cds-CAJ66835.1	3617	3357	3469	2282	3626	260	2997	3808	2495	2273	1910	968
cds-CAJ66836.2	1103	1007	1518	4575	4522	25465	4792	9592	11376	14989	33985	31269
cds-CAJ66837.1	12	11	21	19	12	21	7	162	101	121	181	266
cds-CAJ66838.1	186	98	77	121	134	179	75	520	411	423	586	831
cds-CAJ66839.1	1352	949	824	1056	1138	1532	756	1364	1284	1676	2590	2077
cds-CAJ66840.1	4616	3437	4213	3507	5542	7117	3053	5357	4070	6508	9119	7561
cds-CAJ66841.1	7852	6472	8324	7622	8353	6115	7073	8442	7863	10270	14177	8244
cds-CAJ66842.1	2554	1979	2265	2417	2550	1697	2062	3014	2399	3551	4994	3043
cds-CAJ66843.1	2967	3027	3249	2975	3055	1200	2336	5281	3453	5106	5773	4353
cds-CAJ66844.1	5845	4463	5578	4542	4760	1094	3154	6710	4377	4961	6562	3319
cds-CAJ66845.1	6	4	4	10	0	1	6	148	114	176	302	307
cds-CAJ66846.1	4	4	7	1	6	6	2	10	2	6	3	8
cds-CAJ66847.1	6	12	9	8	8	3	12	10	9	27	9	20
cds-CAJ66848.1	100	64	160	86	96	26	106	90	66	80	118	68
cds-CAJ66849.1	32	6	22	20	52	24	18	17	20	19	58	76
cds-CAJ66850.1	126	100	164	111	366	302	72	150	185	191	326	468
cds-CAJ66851.1	89	105	153	94	240	289	74	171	110	141	192	233
cds-CAJ66852.1	244	171	264	238	645	970	181	455	372	486	716	712
cds-CAJ66853.1	62	55	124	103	217	383	70	182	147	227	266	375
cds-CAJ66854.1	62	64	66	53	68	30	69	134	73	177	141	86
cds-CAJ66855.1	12	5	9	8	11	4	17	13	18	14	19	11
cds-CAJ66856.1	0	7	9	4	15	38	2	23	29	35	67	45
cds-CAJ66857.1	30	24	52	30	64	30	49	100	56	124	116	88
cds-CAJ66858.1	0	0	0	0	0	2	1	0	0	0	9	11
cds-CAJ66859.1	17	17	8	12	16	8	6	41	13	30	39	43
cds-CAJ66860.1	81	97	56	138	78	141	95	406	256	327	576	571
cds-CAJ66861.1	389	408	745	349	474	45	302	461	277	393	410	201
