query	evalue	COG_category	Description	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	PFAMs
CAJ66415.1	5.39E-38	V	endonuclease activity	ko:K07451	-	-	-	-	"ko00000,ko01000,ko02048"	-	"HNH,HNH_5"
CAJ66417.1	5.01E-80	S	Phage capsid family	-	-	-	-	-	-	-	Phage_capsid
CAJ66419.1	4.48E-22	L	Type III restriction enzyme res subunit	ko:K06877	-	-	-	-	ko00000	-	"DEAD,DUF1998,Helicase_C"
CAJ66420.1	9.68E-218	L	Type III restriction enzyme res subunit	-	-	-	-	-	-	-	ResIII
CAJ66422.1	1.65E-10	S	Ribbon-helix-helix domain	-	-	-	-	-	-	-	RHH_3
CAJ66423.1	8.73E-21	-	-	-	-	-	-	-	-	-	-
CAJ66815.1	8.33e-311	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	ko:K02313	"ko02020,ko04112,map02020,map04112"	-	-	-	"ko00000,ko00001,ko03032,ko03036"	-	"Bac_DnaA,Bac_DnaA_C,DnaA_N"
CAJ66816.2	8.40E-259	L	"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria"	ko:K02338	"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440"	M00260	"R00375,R00376,R00377,R00378"	RC02795	"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400"	-	"DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3"
CAJ66817.1	3.30E-39	S	S4 domain protein	ko:K14761	-	-	-	-	"ko00000,ko03009"	-	S4_2
CAJ66818.1	1.35E-261	L	"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP"	ko:K03629	"ko03440,map03440"	-	-	-	"ko00000,ko00001,ko03400"	-	SMC_N
CAJ66819.1	0	L	"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner"	ko:K02470	-	-	-	-	"ko00000,ko01000,ko03032,ko03400"	-	"DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim"
CAJ66820.1	0	L	"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner"	ko:K02469	-	-	-	-	"ko00000,ko01000,ko03032,ko03400"	-	"DNA_gyraseA_C,DNA_topoisoIV"
CAJ66821.1	2.54E-61	S	YtxH-like protein	-	-	-	-	-	-	-	YtxH
CAJ66822.1	2.54E-51	-	-	-	-	-	-	-	-	-	-
CAJ66823.1	3.51E-68	T	Belongs to the anti-sigma-factor antagonist family	ko:K04749	-	-	-	-	"ko00000,ko03021"	-	STAS
CAJ66824.1	2.09E-91	T	anti-sigma B factor	ko:K04757	-	-	-	-	"ko00000,ko01000,ko01001,ko03021"	-	HATPase_c_2
CAJ66825.1	4.79E-175	K	Belongs to the sigma-70 factor family	"ko:K03090,ko:K03091"	-	-	-	-	"ko00000,ko03021"	-	"Sigma70_r2,Sigma70_r3,Sigma70_r4"
CAJ66826.1	1.34E-120	S	3H domain	ko:K07105	-	-	-	-	ko00000	-	"3H,HTH_11"
CAJ66827.1	8.11E-162	M	"Transporter, small conductance mechanosensitive ion channel MscS family protein"	ko:K03442	-	-	-	-	"ko00000,ko02000"	1.A.23.2	"MS_channel,TM_helix"
CAJ66828.1	7.82E-301	J	"Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)"	ko:K01875	"ko00970,map00970"	"M00359,M00360"	"R03662,R08218"	"RC00055,RC00523"	"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016"	-	"Seryl_tRNA_N,tRNA-synt_2b"
CAJ66829.1	4.54E-105	FJ	Catalyzes the deamination of adenosine to inosine at the wobble position 34 of tRNA(Arg2)	ko:K11991	-	-	R10223	RC00477	"ko00000,ko01000,ko03016"	-	MafB19-deam
CAJ66830.1	0	H	"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity"	ko:K02343	"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440"	M00260	"R00375,R00376,R00377,R00378"	RC02795	"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400"	-	"DNA_pol3_delta2,DNA_pol3_gamma3"
CAJ66831.1	3.44E-72	S	"Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection"	ko:K09747	-	-	-	-	ko00000	-	YbaB_DNA_bd
CAJ66832.1	3.08E-140	L	May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO	ko:K06187	"ko03440,map03440"	-	-	-	"ko00000,ko00001,ko03400"	-	"HHH,RecR,Toprim_4"
CAJ66833.1	1.21E-286	M	Monogalactosyldiacylglycerol synthase	ko:K03429	"ko00561,ko01100,map00561,map01100"	-	"R02689,R04377"	"RC00005,RC00059"	"ko00000,ko00001,ko01000,ko01003"	-	"Glyco_tran_28_C,Glycos_transf_1,MGDG_synth"
CAJ66834.1	3.72E-86	-	-	-	-	-	-	-	-	-	-
CAJ66835.1	0	C	"Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second"	ko:K01958	"ko00020,ko00620,ko00720,ko01100,ko01120,ko01200,ko01230,map00020,map00620,map00720,map01100,map01120,map01200,map01230"	M00173	R00344	"RC00040,RC00367"	"ko00000,ko00001,ko00002,ko01000"	-	"Biotin_carb_C,Biotin_carb_N,Biotin_lipoyl,CPSase_L_D2,HMGL-like,PYC_OADA"
CAJ66836.2	0	J	Elongation factor	ko:K02355	-	-	-	-	"ko00000,ko03012,ko03029"	-	"EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2"
CAJ66837.1	1.57E-102	K	Firmicute transcriptional repressor of class III stress genes (CtsR)	ko:K03708	-	-	-	-	"ko00000,ko03000"	-	CtsR
CAJ66838.1	2.77E-119	S	UvrB/uvrC motif	ko:K19411	-	-	-	-	ko00000	-	UVR
CAJ66839.1	1.11E-238	F	Catalyzes the specific phosphorylation of arginine residues in proteins	ko:K19405	-	-	R11090	"RC00002,RC00203"	"ko00000,ko01000"	-	ATP-gua_Ptrans
CAJ66840.1	0	O	Belongs to the ClpA ClpB family	"ko:K03695,ko:K03696"	"ko01100,ko04213,map01100,map04213"	-	-	-	"ko00000,ko00001,ko03110"	-	"AAA,AAA_2,ClpB_D2-small,Clp_N,UVR"
CAJ66841.1	0	O	"DNA-dependent ATPase involved in processing of recombination intermediates, plays a role in repairing DNA breaks. Stimulates the branch migration of RecA-mediated strand transfer reactions, allowing the 3' invading strand to extend heteroduplex DNA faster. Binds ssDNA in the presence of ADP but not other nucleotides, has ATPase activity that is stimulated by ssDNA and various branched DNA structures, but inhibited by SSB. Does not have RecA's homology-searching function"	ko:K04485	-	-	-	-	"ko00000,ko03400"	-	"AAA_25,ATPase,ChlI,Lon_C"
CAJ66842.1	9.95E-245	L	"Has also diadenylate cyclase activity, catalyzing the condensation of 2 ATP molecules into cyclic di-AMP (c-di-AMP). c- di-AMP acts as a signaling molecule that couples DNA integrity with progression of sporulation. The rise in c-di-AMP level generated by DisA while scanning the chromosome, operates as a positive signal that advances sporulation"	ko:K07067	-	-	-	-	"ko00000,ko01000"	-	"DisA-linker,DisA_N,HHH,HHH_2"
CAJ66843.1	2.87E-248	S	PIN domain protein	-	-	-	-	-	-	-	"PIN,PIN_4,TRAM"
CAJ66844.1	0	P	arylsulfatase activity	-	-	-	-	-	-	-	-
CAJ66845.1	8.49E-206	K	AraC-like ligand binding domain	-	-	-	-	-	-	-	"AraC_binding,Cupin_2,HTH_18,HTH_AraC"
CAJ66846.1	1.23E-302	G	Belongs to the glycosyl hydrolase 5 (cellulase A) family	-	-	-	-	-	-	-	Cellulase
CAJ66847.1	0	G	Belongs to the glycosyl hydrolase 43 family	ko:K01198	"ko00520,ko01100,map00520,map01100"	-	R01433	RC00467	"ko00000,ko00001,ko01000"	-	Glyco_hydro_43
CAJ66848.1	3.71e-314	G	MFS/sugar transport protein	ko:K03292	-	-	-	-	ko00000	2.A.2	MFS_2
CAJ66849.1	1.37E-220	K	"COG COG2390 Transcriptional regulator, contains sigma factor-related N-terminal domain"	-	-	-	-	-	-	-	"HTH_23,HTH_24,HTH_Crp_2,Sigma70_r4,Sugar-bind"
CAJ66850.1	7.45E-232	C	Dehydrogenase E1 component	"ko:K00161,ko:K21416"	"ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04922,ko05230,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200,map04066,map04922,map05230"	M00307	"R00014,R00209,R01699,R03270"	"RC00004,RC00027,RC00627,RC02742,RC02744,RC02882"	"br01601,ko00000,ko00001,ko00002,ko01000"	-	E1_dh
CAJ66851.1	5.89E-232	C	"Transketolase, pyrimidine binding domain"	"ko:K00162,ko:K21417"	"ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04922,ko05230,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200,map04066,map04922,map05230"	M00307	"R00014,R00209,R01699,R03270"	"RC00004,RC00027,RC00627,RC02742,RC02744,RC02882"	"br01601,ko00000,ko00001,ko00002,ko01000"	-	"Transket_pyr,Transketolase_C"
CAJ66852.1	6.92E-209	C	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	ko:K00627	"ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200"	M00307	"R00209,R02569"	"RC00004,RC02742,RC02857"	"br01601,ko00000,ko00001,ko00002,ko01000"	-	"2-oxoacid_dh,Biotin_lipoyl,E3_binding"
CAJ66853.1	0	C	"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"	ko:K00382	"ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200"	"M00009,M00011,M00036,M00307,M00532"	"R00209,R01221,R01698,R03815,R07618,R08549"	"RC00004,RC00022,RC00583,RC02742,RC02833,RC02834"	"br01601,ko00000,ko00001,ko00002,ko01000,ko04147"	-	"Biotin_lipoyl,Pyr_redox_2,Pyr_redox_dim"
CAJ66854.1	0	F	PTS system fructose IIA component	-	-	-	-	-	-	-	"EIIA-man,PRD,PTS_EIIA_2,Sigma54_activat"
CAJ66855.1	1.06E-100	G	"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2"	ko:K02773	"ko00052,ko01100,ko02060,map00052,map01100,map02060"	M00279	R05570	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	4.A.5.1	PTS_EIIA_2
CAJ66856.1	2.07E-61	G	"PFAM Phosphotransferase system, lactose cellobiose-specific IIB subunit"	ko:K02774	"ko00052,ko01100,ko02060,map00052,map01100,map02060"	M00279	R05570	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	4.A.5.1	PTS_IIB
CAJ66857.1	3.75E-303	G	PTS system sugar-specific permease component	ko:K02775	"ko00052,ko01100,ko02060,map00052,map01100,map02060"	M00279	R05570	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko02000"	4.A.5.1	EIIC-GAT
CAJ66858.1	7.73E-109	-	-	-	-	-	-	-	-	-	-
CAJ66859.1	4.33E-153	G	L-ribulose-5-phosphate 4-epimerase	"ko:K01628,ko:K03077"	"ko00040,ko00051,ko00053,ko01100,ko01120,map00040,map00051,map00053,map01100,map01120"	M00550	"R02262,R05850"	"RC00603,RC00604,RC01479"	"ko00000,ko00001,ko00002,ko01000"	-	Aldolase_II
CAJ66860.1	1.74E-224	H	Lipoate-protein ligase	ko:K03800	"ko00785,ko01100,map00785,map01100"	-	"R07770,R07771,R11143"	"RC00043,RC00070,RC00090,RC00992,RC02896"	"ko00000,ko00001,ko01000"	-	"BPL_LplA_LipB,Lip_prot_lig_C"
CAJ66861.1	2.39E-165	I	Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP)	ko:K00991	"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130"	M00096	R05633	RC00002	"ko00000,ko00001,ko00002,ko01000"	-	IspD
CAJ66862.1	1.32E-111	I	"Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP)"	"ko:K01770,ko:K12506"	"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130"	M00096	"R05633,R05637"	"RC00002,RC01440"	"ko00000,ko00001,ko00002,ko01000"	-	"IspD,YgbB"
CAJ66863.1	0	J	"Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS"	ko:K01881	"ko00970,map00970"	"M00359,M00360"	R03661	"RC00055,RC00523"	"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016"	-	"HGTP_anticodon,tRNA-synt_2b,tRNA_edit"
CAJ66864.1	0	J	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro)	ko:K01881	"ko00970,map00970"	"M00359,M00360"	R03661	"RC00055,RC00523"	"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016"	-	"HGTP_anticodon,ProRS-C_1,tRNA-synt_2b"
CAJ66865.1	0	J	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu)	"ko:K01885,ko:K09698"	"ko00860,ko00970,ko01100,ko01110,ko01120,map00860,map00970,map01100,map01110,map01120"	"M00121,M00359,M00360"	"R03651,R05578"	"RC00055,RC00523"	"ko00000,ko00001,ko00002,ko01000,ko01007,ko02048,ko03016"	-	tRNA-synt_1c
CAJ66866.2	0	J	Belongs to the class-I aminoacyl-tRNA synthetase family	ko:K01883	"ko00970,map00970"	"M00359,M00360"	R03650	"RC00055,RC00523"	"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016"	-	"DALR_2,tRNA-synt_1e,tRNA-synt_1g"
CAJ66867.1	9.68E-86	J	Involved in correct processing of both the 5' and 3' ends of 23S rRNA precursor. Processes 30S rRNA precursor transcript even in absence of ribonuclease 3 (Rnc)	ko:K11145	-	-	-	-	"ko00000,ko01000,ko03009"	-	Ribonuclease_3
CAJ66868.1	1.24E-179	F	"Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor, and NADPH and FADH(2) as the reductant"	ko:K03465	"ko00240,ko00670,ko01100,map00240,map00670,map01100"	-	R06613	"RC00022,RC00332"	"ko00000,ko00001,ko01000"	-	Thy1
CAJ66869.1	3.97E-174	J	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family	ko:K03218	-	-	-	-	"ko00000,ko01000,ko03009"	-	"SpoU_methylase,SpoU_sub_bind"
CAJ66870.1	5.25E-118	S	"Psort location Cytoplasmic, score"	ko:K06962	-	-	-	-	ko00000	-	NYN_YacP
CAJ66871.1	3.27E-150	K	Belongs to the sigma-70 factor family	ko:K03091	-	-	-	-	"ko00000,ko03021"	-	"GerE,Sigma70_r2,Sigma70_r4_2"
CAJ66872.1	2.27E-289	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	ko:K02358	-	-	-	-	"ko00000,ko03012,ko03029,ko04147"	-	"GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3"
CAJ66873.1	4.40E-29	J	Belongs to the bacterial ribosomal protein bL33 family	ko:K02913	"ko03010,map03010"	M00178	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L33
CAJ66874.1	5.89E-42	U	Essential subunit of the Sec protein translocation channel SecYEG. Clamps together the 2 halves of SecY. May contact the channel plug during translocation	ko:K03073	"ko02024,ko03060,ko03070,map02024,map03060,map03070"	M00335	-	-	"ko00000,ko00001,ko00002,ko02044"	"3.A.5.1,3.A.5.2"	SecE
CAJ66875.1	4.47E-126	K	"Participates in transcription elongation, termination and antitermination"	ko:K02601	-	-	-	-	"ko00000,ko03009,ko03021"	-	"KOW,NusG"
CAJ66876.1	1.33E-90	J	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors	ko:K02867	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	"Ribosomal_L11,Ribosomal_L11_N"
CAJ66877.1	1.28E-162	J	"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release"	ko:K02863	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L1
CAJ66878.1	1.52E-109	J	"Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors"	ko:K02864	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L10
CAJ66879.1	4.77E-70	J	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation	ko:K02935	"ko03010,map03010"	M00178	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	"Ribosomal_L12,Ribosomal_L12_N"
CAJ66880.1	1.68E-182	IQ	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol	-	-	-	-	-	-	-	adh_short_C2
CAJ66881.1	0	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	ko:K03043	"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020"	M00183	"R00435,R00441,R00442,R00443"	RC02795	"br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400"	-	"RNA_pol_Rpb2_1,RNA_pol_Rpb2_2,RNA_pol_Rpb2_3,RNA_pol_Rpb2_45,RNA_pol_Rpb2_6,RNA_pol_Rpb2_7"
CAJ66882.1	0	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	ko:K03046	"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020"	M00183	"R00435,R00441,R00442,R00443"	RC02795	"br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400"	-	"RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5"
