,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,# feature,class,assembly,assembly_unit,seq_type,chromosome,genomic_accession,start,end,strand,non-redundant_refseq,related_accession,name,symbol,GeneID,locus_tag,feature_interval_length,product_length,attributes
1,CAJ66815.1,11082.12334,-0.666414287,0.288742308,-2.307989753,0.020999706,0.082633774,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,1,1320,+,NA,NA,Chromosomal replication initiator protein,dnaA,NA,CD630_00010,1320,439,old_locus_tag=CD0001
2,CAJ66816.2,2695.589775,0.571355783,0.375988075,1.51961145,0.128608658,0.279952561,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,1562,2668,+,NA,NA,DNA polymerase III subunit beta,dnaN,NA,CD630_00020,1107,368,old_locus_tag=CD0002
3,CAJ66817.1,86.69114909,0.7933001,0.814122145,0.974423929,0.329846093,0.51134432,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,2805,3011,+,NA,NA,putative RNA-binding mediating protein,NA,NA,CD630_00030,207,68,old_locus_tag=CD0003
4,CAJ66818.1,1262.75708,1.491229006,0.588129675,2.535544576,0.011227264,0.053218093,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,3029,4144,+,NA,NA,DNA replication and repair protein RecF,recF,NA,CD630_00040,1116,371,old_locus_tag=CD0004
5,CAJ66819.1,7329.473906,-0.599148099,0.292341391,-2.049480904,0.040415113,0.12931439,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,4145,6046,+,NA,NA,DNA gyrase subunit B,gyrB,NA,CD630_00050,1902,633,old_locus_tag=CD0005
6,CAJ66820.1,11937.14878,-0.477624404,0.238273568,-2.004521142,0.045014264,0.139585343,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,6066,8492,+,NA,NA,DNA gyrase subunit A,gyrA,NA,CD630_00060,2427,808,old_locus_tag=CD0006
7,CAJ66821.1,26.58785058,1.670223769,0.724236133,2.306186743,0.0211002,0.082659196,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,8561,8857,+,NA,NA,putative spore protein,NA,NA,CD630_00070,297,98,old_locus_tag=CD0007
8,CAJ66822.1,41.74473547,2.090239069,0.828672083,2.522395903,0.011655844,0.054620171,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,8857,9117,+,NA,NA,conserved hypothetical protein,NA,NA,CD630_00080,261,86,old_locus_tag=CD0008
9,CAJ66823.1,218.4972535,3.525219124,0.852100826,4.137091546,3.52E-05,0.000765956,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,9135,9446,+,NA,NA,Anti-anti-sigma factor,rsbV,NA,CD630_00090,312,103,old_locus_tag=CD0009
10,CAJ66824.1,225.5095253,0.430975665,0.363056671,1.187075461,0.235197857,0.413519138,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,9450,9857,+,NA,NA,Serine-protein kinase RsbW,rsbW,NA,CD630_00100,408,135,old_locus_tag=CD0010
