"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","# feature","class","assembly","assembly_unit","seq_type","chromosome","genomic_accession","start","end","strand","non-redundant_refseq","related_accession","name","symbol","GeneID","locus_tag","feature_interval_length","product_length","attributes"
"1","CAJ66815.1",7041.4118032914,-0.373190007156685,0.643826889724307,-0.579643399666778,0.562155119623099,0.713105924456522,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",1,1320,"+",NA,NA,"Chromosomal replication initiator protein","dnaA",NA,"CD630_00010",1320,439,"old_locus_tag=CD0001"
"2","CAJ66816.2",1969.25785778875,0.842664505074535,0.648658612663213,1.29908782312284,0.193913791502513,0.349199360308917,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",1562,2668,"+",NA,NA,"DNA polymerase III subunit beta","dnaN",NA,"CD630_00020",1107,368,"old_locus_tag=CD0002"
"3","CAJ66817.1",80.5555020077581,1.16054851525273,0.650166518309415,1.78500196883473,0.0742609975300782,0.180477594511121,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",2805,3011,"+",NA,NA,"putative RNA-binding mediating protein",NA,NA,"CD630_00030",207,68,"old_locus_tag=CD0003"
"4","CAJ66818.1",1100.04139380274,1.59812277895406,0.674141734022491,2.37060353676419,0.0177590691725854,0.0630988899052235,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",3029,4144,"+",NA,NA,"DNA replication and repair protein RecF","recF",NA,"CD630_00040",1116,371,"old_locus_tag=CD0004"
"5","CAJ66819.1",4703.42939987476,-0.849722910086913,0.633399447754212,-1.34152770909368,0.179749179480727,0.333253745788863,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",4145,6046,"+",NA,NA,"DNA gyrase subunit B","gyrB",NA,"CD630_00050",1902,633,"old_locus_tag=CD0005"
"6","CAJ66820.1",8197.14470368679,-0.588867712223817,0.558659727447243,-1.05407224342912,0.291849842919668,0.466232146208965,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",6066,8492,"+",NA,NA,"DNA gyrase subunit A","gyrA",NA,"CD630_00060",2427,808,"old_locus_tag=CD0006"
"7","CAJ66821.1",36.1897744237661,2.03498129066064,0.586719478032099,3.46840588535789,0.000523555876409673,0.003621819810483,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",8561,8857,"+",NA,NA,"putative spore protein",NA,NA,"CD630_00070",297,98,"old_locus_tag=CD0007"
"8","CAJ66822.1",57.139152385223,1.35315405416043,0.556189971888515,2.43289904988015,0.0149784763056506,0.0559511888850757,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",8857,9117,"+",NA,NA,"conserved hypothetical protein",NA,NA,"CD630_00080",261,86,"old_locus_tag=CD0008"
"9","CAJ66823.1",278.311218178708,3.83736169110706,0.428314487058526,8.95921526600783,3.26997203435104e-19,5.37981485999318e-17,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",9135,9446,"+",NA,NA,"Anti-anti-sigma factor","rsbV",NA,"CD630_00090",312,103,"old_locus_tag=CD0009"
"10","CAJ66824.1",242.318981488317,0.171935777892991,0.387079587873151,0.444187147242018,0.656907283876952,0.782205875323799,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",9450,9857,"+",NA,NA,"Serine-protein kinase RsbW","rsbW",NA,"CD630_00100",408,135,"old_locus_tag=CD0010"
"11","CAJ66825.1",769.854647538373,-0.0843746765093281,0.448344003966753,-0.188191825390365,0.850726280395468,0.9109078225853,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",9857,10630,"+",NA,NA,"RNA polymerase sigma-B factor (Sigma-37)","sigB",NA,"CD630_00110",774,257,"old_locus_tag=CD0011"
"12","CAJ66826.1",1038.34385596573,0.220686884838485,0.399865426810673,0.551902890426621,0.581014887956686,0.724883100685633,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",16073,16600,"+",NA,NA,"putative small-molecule-binding protein",NA,NA,"CD630_00120",528,175,"old_locus_tag=CD0012"
"13","CAJ66827.1",859.071601233288,0.715162787640689,0.444057587258223,1.61051811332933,0.107284794385513,0.233851187761971,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",16612,17493,"+",NA,NA,"putative mechanosensitive ion channel protein",NA,NA,"CD630_00130",882,293,"old_locus_tag=CD0013"
"14","CAJ66828.1",6280.95287802552,-0.813574235963383,0.673412200871092,-1.20813705916077,0.226994547005351,0.390426346806452,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",17952,19223,"+",NA,NA,"Seryl-tRNA synthetase 1","serS1",NA,"CD630_00140",1272,423,"old_locus_tag=CD0014"
"15","CAJ66829.1",1320.01141211177,0.380259947912911,0.46461806481436,0.818435563982741,0.413108521387457,0.588916685865756,"CDS","with_protein","GCA_000009205.2","Primary Assembly","chromosome",NA,"AM180355.1",19544,19999,"+",NA,NA,"transfer RNA specific adenosine deaminase","tadA",NA,"CD630_00150",456,151,"old_locus_tag=CD0015"
